Style,Test_F1_Mean,Test_F1_Std,Test_Precision_Mean,Test_Precision_Std,Test_Recall_Mean,Test_Recall_Std,Test_Accuracy_Mean,Test_Accuracy_Std
conservative,0.7450126302844657,0.025507286848570333,0.7223800899200786,0.03665657968981896,0.7714628297362108,0.04012829576778411,0.7714628297362108,0.04012829576778411
dressy,0.9562599051997084,0.011991091099885647,0.9575341932359245,0.01766412570832514,0.9553086419753087,0.016835450798746432,0.9553086419753087,0.016835450798746432
ethnic,0.8534639266905442,0.023715463690189995,0.8466579932022491,0.031106742928929367,0.8620155038759691,0.039446118113201825,0.8620155038759691,0.039446118113201825
fairy,0.937879654234388,0.01584352246418996,0.9268128305520377,0.02399669299587706,0.9497685185185183,0.020497551210428597,0.9497685185185183,0.020497551210428597
feminine,0.7465896889052902,0.029522016265789156,0.7189253511633183,0.03883381483746383,0.7781420765027321,0.03683562742372179,0.7781420765027321,0.03683562742372179
gal,0.8598716425928401,0.01884914812776592,0.8586638131626123,0.03287054341873163,0.8624708624708624,0.028396162858444873,0.8624708624708624,0.028396162858444873
girlish,0.6827812022586426,0.024708069089824918,0.7489699324799499,0.040983483821542085,0.6311244979919679,0.047015832870506605,0.6311244979919679,0.047015832870506605
kireime-casual,0.6986877581094576,0.01854766612066396,0.7133857600436223,0.03332028375243719,0.6867088607594937,0.03484846373771005,0.6867088607594937,0.03484846373771005
lolita,0.9373908247199046,0.01612855140179091,0.9397225433698776,0.024718698742257243,0.9356799625682295,0.021782260596072422,0.9356799625682295,0.021782260596072422
mode,0.8070547883610169,0.02121919098938481,0.8286204904989182,0.02950281382955582,0.7883429530232495,0.03836747871012562,0.7883429530232495,0.03836747871012562
natural,0.8271992458525556,0.019371733461215256,0.802581593791396,0.03495009933263989,0.8556372268510041,0.035315474785216516,0.8556372268510041,0.035315474785216516
retro,0.802501170087,0.024059947154931954,0.8188059106789322,0.03334848704248474,0.7891433570803649,0.043596750313631354,0.7891433570803649,0.043596750313631354
rock,0.8251033700156291,0.0213306034900621,0.7960834528415341,0.040213903630219705,0.8591276593281941,0.037618888539835686,0.8591276593281941,0.037618888539835686
street,0.8937089625597228,0.019502285532818183,0.9027644092293206,0.028727114214944196,0.8855135190046975,0.023196267296193656,0.8855135190046975,0.023196267296193656
