Style,Test_F1_Mean,Test_F1_Std,Test_Precision_Mean,Test_Precision_Std,Test_Recall_Mean,Test_Recall_Std,Test_Accuracy_Mean,Test_Accuracy_Std
conservative,0.7526518581431496,0.02483359163662763,0.7336651476422865,0.03891703207885714,0.7760191846522784,0.046205250279621454,0.7760191846522784,0.046205250279621454
dressy,0.9599348746959616,0.011318659879123578,0.961878402147878,0.016260509137523853,0.9582716049382719,0.01582752643016032,0.9582716049382719,0.01582752643016032
ethnic,0.8599261235289961,0.02320781346229706,0.8560853624575938,0.031078794981116077,0.8653746770025842,0.03800207014927218,0.8653746770025842,0.03800207014927218
fairy,0.941639363727356,0.01407467417728496,0.9298785918774105,0.020188745594860533,0.9541666666666667,0.02025429893909941,0.9541666666666667,0.02025429893909941
feminine,0.7539382035779774,0.027870717741975876,0.7262358564414053,0.03464257461168045,0.7860655737704919,0.04369962130575523,0.7860655737704919,0.04369962130575523
gal,0.8618074608769568,0.01941888407314947,0.8623294243568557,0.027688451652984853,0.8624708624708625,0.03129104744904398,0.8624708624708625,0.03129104744904398
girlish,0.688129668397461,0.023629582687715197,0.749478652487339,0.045324183916646235,0.6403614457831327,0.046744037914617696,0.6403614457831327,0.046744037914617696
kireime-casual,0.7152117883273149,0.022734596619884556,0.7293247319473349,0.029249127956368817,0.7035864978902955,0.03989796757243641,0.7035864978902955,0.03989796757243641
lolita,0.9413158992304527,0.013529761257759508,0.942582596178545,0.01799117054512693,0.9406995496795176,0.025236836791881646,0.9406995496795176,0.025236836791881646
mode,0.8130800125151064,0.022134773977018078,0.8294919902870636,0.025907592099466623,0.7993658098568811,0.04349560326981864,0.7993658098568811,0.04349560326981864
natural,0.83447997009718,0.01793505523350971,0.816846382449985,0.03725949481884642,0.8548641789507415,0.027788490853500294,0.8548641789507415,0.027788490853500294
retro,0.8029073819974322,0.024218714657591896,0.8121389704171359,0.0426169692971799,0.796288263967004,0.03639767732742619,0.796288263967004,0.03639767732742619
rock,0.8313668017260163,0.023221319924727635,0.8028923888890105,0.029128954100157815,0.8633061902446929,0.03653049784389853,0.8633061902446929,0.03653049784389853
street,0.8986431486640564,0.018860501273274616,0.9095016743266925,0.026436797861297854,0.8885809417059339,0.02269704812617688,0.8885809417059339,0.02269704812617688
