Style,Test_F1_Mean,Test_F1_Std,Test_Precision_Mean,Test_Precision_Std,Test_Recall_Mean,Test_Recall_Std,Test_Accuracy_Mean,Test_Accuracy_Std
conservative,0.7456981368383958,0.023806417858354235,0.72431679289849,0.041337469832528985,0.7712230215827339,0.03702998205651343,0.7712230215827339,0.03702998205651343
dressy,0.9574769494591249,0.010834374070066124,0.956458583386749,0.016412644176319227,0.9587654320987654,0.014898938115106728,0.9587654320987654,0.014898938115106728
ethnic,0.853833536868457,0.02448034589864485,0.8400523827044493,0.03844430425496323,0.8700258397932819,0.03556235287469023,0.8700258397932819,0.03556235287469023
fairy,0.9396916877527236,0.012584235002875411,0.9313182438143252,0.01804959985117484,0.9486111111111111,0.01868558895426905,0.9486111111111111,0.01868558895426905
feminine,0.7517973942816188,0.027831620918990822,0.720842982129078,0.03906026823841526,0.7868852459016392,0.02924901353239921,0.7868852459016392,0.02924901353239921
gal,0.8596555354100666,0.021301524251561878,0.8569503949337762,0.03492413305949166,0.8638694638694637,0.030680808174867878,0.8638694638694637,0.030680808174867878
girlish,0.6827570980483072,0.02128724676703091,0.7516277203438613,0.038675448429476594,0.6283132530120482,0.039933595143643565,0.6283132530120482,0.039933595143643565
kireime-casual,0.7048749039002515,0.02843169013625831,0.7208141390364131,0.03292063273940601,0.691350210970464,0.042194620249868184,0.691350210970464,0.042194620249868184
lolita,0.9398294213043032,0.014710253452036035,0.9377477774999817,0.021030045893398467,0.942399172188341,0.02069043582256306,0.942399172188341,0.02069043582256306
mode,0.8090358667638438,0.022166303985847683,0.8309848767332827,0.027932170447353875,0.7900389333760217,0.04059381298619546,0.7900389333760217,0.04059381298619546
natural,0.8332641513916422,0.020077221734213103,0.8076421940199902,0.03238329569183406,0.8624165484038332,0.03419034782541736,0.8624165484038332,0.03419034782541736
retro,0.8029212261322533,0.024967512886167754,0.8238149754459456,0.038385169187577305,0.7851979169270507,0.039223527692685854,0.7851979169270507,0.039223527692685854
rock,0.8220098162806727,0.023482321800557777,0.7912618012007656,0.03473544462825924,0.8571901791019437,0.03694705005407637,0.8571901791019437,0.03694705005407637
street,0.8941913316781819,0.018987580531043678,0.9094078721687118,0.025103452396244178,0.8802239674538861,0.027676471630006153,0.8802239674538861,0.027676471630006153
