Seed,Caption_Condition,Best_Epoch,Early_Stopped,Best_Val_Macro_F1,Test_Macro_F1,Test_Accuracy,Test_Macro_Precision,Test_Macro_Recall,Overfitting,Training_Time_Min
13,shuffled,10,True,0.8391952788893031,0.8312270802580687,0.8312278928751895,0.8312484972517368,0.8333337027865975,False,3.4343005895614622
14,shuffled,17,False,0.8429378573557231,0.8299806927663669,0.8299697275479314,0.8295157945910073,0.8335544029434245,False,4.584003329277039
16,shuffled,14,True,0.830279973995225,0.8345370789748011,0.8335015136226034,0.8349539221820796,0.8364430909925716,False,4.299370002746582
17,shuffled,14,True,0.8320971900340252,0.8267752826874493,0.8261748357756442,0.8265248768776621,0.8296671040191005,False,4.359941971302033
45,shuffled,16,False,0.8263918077509446,0.8316623472919183,0.8306370070778564,0.8335249256286315,0.8327189662293119,False,4.5439265131950375
48,shuffled,18,False,0.835626297512888,0.8309150024594621,0.8313131313131313,0.8301929991375656,0.8349617817220352,False,4.566896975040436
53,shuffled,11,True,0.8218732034336761,0.8261460340187912,0.8259989883662114,0.827016879351763,0.8296266113034407,False,3.6797029932339984
58,shuffled,16,False,0.8205563829074629,0.8312682184289674,0.8316481294236603,0.8308246021280549,0.8352642526816597,False,4.586847273508708
72,shuffled,19,False,0.8303557253512671,0.818206474406968,0.8194654563792234,0.8175922372737638,0.8203583754086697,False,4.5453795472780865
102,shuffled,10,True,0.8459500481475759,0.836662417280244,0.8361069087241553,0.8365426383259721,0.837677053148738,False,3.401022215684255
112,shuffled,8,True,0.8333558500977984,0.8306847864446987,0.8301411290322581,0.8316130738670424,0.8328882276545456,False,2.9451754252115885
115,shuffled,6,True,0.833085821942252,0.8090473336322831,0.8084891359272359,0.8112312979989602,0.8139854157011367,False,2.4900129675865172
120,shuffled,13,True,0.8296048275782846,0.8260392545417127,0.8266801414855988,0.8253153730745334,0.8296029407150677,False,4.073572583993276
126,shuffled,13,True,0.8307989848469779,0.8241183032531053,0.8237373737373738,0.8244442179847704,0.8267705090304164,False,4.077715118726094
141,shuffled,14,True,0.8321016394051917,0.831062276770646,0.8309716599190283,0.8317590982734969,0.8327002718294657,False,4.322595250606537
215,shuffled,8,True,0.8255501248439517,0.8184961706202386,0.8199697428139183,0.8201517025447423,0.8233552384498013,False,2.928487559159597
217,shuffled,11,True,0.8414586717409264,0.8235005669259872,0.822816759212519,0.8259913050785198,0.8273131076357647,False,3.614981842041016
259,shuffled,13,True,0.8383808821957104,0.8241449135836127,0.8237373737373738,0.8249298273039679,0.8274218142137506,False,4.078401903311412
280,shuffled,16,False,0.8328940684493303,0.822003908958341,0.8202927814235235,0.8228320986937082,0.8227295669221301,False,4.525320784250895
288,shuffled,19,False,0.8318432345173539,0.8301886194160387,0.8291203235591507,0.8314251056622526,0.8309054967793085,False,4.521206585566203
303,shuffled,19,False,0.8415224669213311,0.8391561227678549,0.8393127842344619,0.8387640721630053,0.8418219083887065,False,4.553379380702973
309,shuffled,19,False,0.8389009713860541,0.8278044965046316,0.8284561049445005,0.8268871707304969,0.8308430082411808,False,4.550537224610647
328,shuffled,18,False,0.8299448614238433,0.8418691430797011,0.8418393127842345,0.8413783929367398,0.8465106931946969,False,4.542066486676534
333,shuffled,18,False,0.823242329608078,0.825801166739187,0.8254931714719271,0.8258968039693979,0.8277549441673365,False,4.539375845591227
347,shuffled,16,False,0.8245479450777877,0.8350001219421059,0.8346814964610718,0.8363872045956102,0.8373165914058729,False,4.521341216564179
360,shuffled,12,True,0.8362861688724491,0.8227393843462706,0.8243311458859162,0.82319258663131,0.8275735358100865,False,3.8559710144996644
367,shuffled,11,True,0.8343772331086141,0.8369562280685903,0.8367037411526794,0.8380572327971497,0.8384647748794448,False,3.617321558793386
378,shuffled,11,True,0.8340458014862367,0.8162436460881463,0.8161616161616162,0.8167541383299289,0.8179162297425844,False,3.6209074020385743
380,shuffled,18,False,0.8318698753915389,0.8344788095781451,0.8346814964610718,0.8353179869776932,0.8367697352019642,False,4.561605985959371
457,shuffled,15,True,0.8428056892286542,0.8340778098296161,0.8354366481574962,0.8338212297437664,0.8391298540667282,False,4.51892196337382
