Style,F1_Mean,F1_Std,F1_Min,F1_Max,F1_CV_Percent,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,Support_Mean,Support_Std,n
conservative,0.7607733249355194,0.020810306770664817,0.7181467181467182,0.8041958041958042,2.7354148849039404,0.7404369261245641,0.031267369300887464,0.7848920863309352,0.04253536916340717,139.0,0.0,30
dressy,0.9585459586466683,0.012055214934956263,0.9407407407407408,0.9850746268656716,1.2576564353759863,0.9590104198601198,0.019993561949112455,0.9585185185185185,0.017382435463504216,135.0,0.0,30
ethnic,0.8457207522515192,0.02498407617247334,0.7953667953667953,0.8854961832061069,2.954175607723886,0.846164406898522,0.036424990817350296,0.8467700258397935,0.0342423574460092,129.0,0.0,30
fairy,0.9110028856874255,0.01644926256853589,0.8778877887788779,0.9491525423728814,1.8056213462072175,0.893143723466691,0.03071364001005995,0.930787037037037,0.024419924922000857,144.0,0.0,30
feminine,0.7389076351779758,0.029594782104785305,0.6831275720164609,0.8307692307692308,4.005207240504019,0.7299307532854559,0.03824624140510481,0.7513661202185791,0.05258409496707939,122.0,0.0,30
gal,0.8445941671177989,0.019616095076895324,0.7885304659498208,0.8852459016393442,2.3225468326209016,0.8555982707156687,0.032152772817471954,0.835897435897436,0.038629990649634675,143.0,0.0,30
girlish,0.6728472442736236,0.02328267951479152,0.6279863481228669,0.7267080745341615,3.4603217465691603,0.7169344177916632,0.035349116655523226,0.6369477911646587,0.04390937734488869,166.0,0.0,30
kireime-casual,0.6652883102726926,0.02362093842658869,0.6232876712328768,0.7266666666666667,3.5504815073192537,0.7083097944275479,0.038871741368126336,0.630379746835443,0.04343942821350818,158.0,0.0,30
lolita,0.9286354609065742,0.015427241140631601,0.8923076923076924,0.9565217391304348,1.6612806413370065,0.9342020873343471,0.022376276876185222,0.9239583333333334,0.026716262473548875,160.0,0.0,30
mode,0.7765059863568851,0.025011695931055195,0.7292418772563177,0.8250825082508251,3.221056420749824,0.8197880057048301,0.031055134639581403,0.739622641509434,0.04248892013598629,159.0,0.0,30
natural,0.789689517787954,0.019207239266443805,0.7375886524822695,0.8188405797101449,2.4322520223196498,0.7364910046827849,0.03102113339830012,0.8534883720930233,0.03687131161452044,129.0,0.0,30
retro,0.782478236388828,0.024680601440033877,0.7181818181818181,0.8156862745098039,3.154158197924578,0.8033474343878295,0.03707723948302822,0.7658792650918633,0.047806509480430324,127.0,0.0,30
rock,0.7877113813911835,0.021853970045046738,0.7489711934156379,0.8313725490196079,2.7743626106366857,0.7516140021895746,0.0366386009435391,0.8300275482093663,0.03815302680195667,121.0,0.0,30
street,0.8752380369474946,0.01719384300555491,0.8413793103448276,0.9096989966555183,1.9644762087261032,0.8580241625648469,0.027860119739383512,0.8947712418300655,0.034018336417446025,153.0,0.0,30
