Style,F1_Mean,F1_Std,F1_Min,F1_Max,F1_CV_Percent,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,Support_Mean,Support_Std,n
conservative,0.7506537357544597,0.018746277149349188,0.7184466019417476,0.8041958041958042,2.4973268307934102,0.7134730374381271,0.03140637371844052,0.7935251798561151,0.026279516305368032,139.0,0.0,30
dressy,0.9544134075065015,0.010908300777490656,0.927536231884058,0.9779411764705882,1.1429324747217937,0.9503886535799208,0.016355299473164744,0.9587654320987655,0.015618137877400937,135.0,0.0,30
ethnic,0.8317805835764465,0.02272803889408039,0.775,0.8769230769230769,2.732456051853911,0.8539122121847933,0.026627946032125253,0.8118863049095607,0.03540711758751553,129.0,0.0,30
fairy,0.910612792736915,0.015683065076190213,0.8791946308724832,0.9448275862068966,1.7222539811958477,0.8962249020422433,0.02787658716496601,0.9261574074074074,0.016961449168261446,144.0,0.0,30
feminine,0.743084799602142,0.02571628724525892,0.6974789915966386,0.8064516129032258,3.46074731430757,0.7093137241473515,0.02467693248255052,0.7819672131147541,0.045173776361618324,122.0,0.0,30
gal,0.8582676326770591,0.016360122408033397,0.8296296296296296,0.89198606271777,1.9061795860813069,0.8571593300138507,0.022419384702586236,0.8603729603729603,0.029252918373311253,143.0,0.0,30
girlish,0.6600285504828327,0.020260101035421682,0.6241610738255033,0.7039473684210527,3.0695794932811236,0.7594840782093132,0.03472910298083683,0.5849397590361446,0.028526073603138764,166.0,0.0,30
kireime-casual,0.6636558713858144,0.02044161051618198,0.6188925081433225,0.7028753993610224,3.0801521387126116,0.6867126670106392,0.025267994660540163,0.6432489451476793,0.03119867288698391,158.0,0.0,30
lolita,0.9198854442057305,0.015184560977764043,0.8658536585365854,0.95,1.6507012991030703,0.9155950752767611,0.02495038863351605,0.9247916666666668,0.018921667841099242,160.0,0.0,30
mode,0.7897344101412707,0.01919382028605798,0.7572815533980582,0.8291139240506329,2.430414584901336,0.810128478003471,0.02178652645009037,0.7708595387840672,0.025915375673319224,159.0,0.0,30
natural,0.7955188604988416,0.020749594398927266,0.75,0.8327402135231317,2.608309548552492,0.7343802021342164,0.02826063892391081,0.8689922480620156,0.029778610092704837,129.0,0.0,30
retro,0.774636259120905,0.025532905265175414,0.728110599078341,0.8359375,3.2961154302474047,0.8029260753269629,0.02950865649781186,0.7503937007874014,0.044595485319121206,127.0,0.0,30
rock,0.7984033126137882,0.024569750977646184,0.7459016393442623,0.84251968503937,3.0773608512733355,0.7778217873072854,0.03612019349042185,0.8220385674931129,0.03718906232658118,121.0,0.0,30
street,0.8955093525111836,0.016955141337094925,0.8626198083067093,0.9364548494983278,1.893351676288962,0.8926856536738451,0.03152684475330824,0.8993464052287583,0.021118293361311782,153.0,0.0,30
