Style,F1-Score,Precision,Recall,95% CI (F1)
conservative,0.7896 +/- 0.0259,0.7989 +/- 0.0327,0.7830 +/- 0.0468,"[0.7798, 0.7994]"
dressy,0.9646 +/- 0.0125,0.9619 +/- 0.0188,0.9677 +/- 0.0164,"[0.9598, 0.9693]"
ethnic,0.8870 +/- 0.0207,0.8843 +/- 0.0363,0.8912 +/- 0.0289,"[0.8791, 0.8949]"
fairy,0.9571 +/- 0.0127,0.9543 +/- 0.0185,0.9602 +/- 0.0164,"[0.9523, 0.9619]"
feminine,0.7823 +/- 0.0269,0.7808 +/- 0.0401,0.7866 +/- 0.0443,"[0.7721, 0.7926]"
gal,0.8697 +/- 0.0188,0.8651 +/- 0.0357,0.8765 +/- 0.0333,"[0.8626, 0.8769]"
girlish,0.7178 +/- 0.0276,0.7317 +/- 0.0353,0.7082 +/- 0.0541,"[0.7074, 0.7283]"
kireime-casual,0.7313 +/- 0.0277,0.7292 +/- 0.0314,0.7359 +/- 0.0488,"[0.7208, 0.7418]"
lolita,0.9631 +/- 0.0103,0.9636 +/- 0.0160,0.9629 +/- 0.0149,"[0.9592, 0.9670]"
mode,0.8244 +/- 0.0280,0.8165 +/- 0.0361,0.8342 +/- 0.0398,"[0.8137, 0.8351]"
natural,0.8522 +/- 0.0215,0.8487 +/- 0.0377,0.8582 +/- 0.0406,"[0.8440, 0.8603]"
retro,0.8285 +/- 0.0235,0.8532 +/- 0.0392,0.8086 +/- 0.0488,"[0.8196, 0.8375]"
rock,0.8388 +/- 0.0210,0.8395 +/- 0.0362,0.8406 +/- 0.0407,"[0.8308, 0.8467]"
street,0.9007 +/- 0.0179,0.9046 +/- 0.0290,0.8977 +/- 0.0249,"[0.8939, 0.9075]"
