Style,Mean,Std,Min,Max,95% CI Lower,95% CI Upper,N
conservative,0.789625239920828,0.02585581381626994,0.7424242424242425,0.8531468531468531,0.7798054704741362,0.7994450093675198,30
dressy,0.9645849454043541,0.012502836377418215,0.9323843416370107,0.988929889298893,0.959836498052111,0.9693333927565972,30
ethnic,0.8870075514710795,0.02074222593487718,0.8464419475655431,0.921259842519685,0.8791298695717955,0.8948852333703634,30
fairy,0.9571047274914357,0.01267936696549499,0.9310344827586208,0.9823321554770319,0.9522892356559858,0.9619202193268857,30
feminine,0.7823254198342227,0.026937563753873392,0.7319148936170213,0.8560311284046693,0.7720948130005616,0.7925560266678837,30
gal,0.8697483000493073,0.01883182503899903,0.8301886792452831,0.9072164948453608,0.8625961685612995,0.876900431537315,30
girlish,0.7178170933939232,0.027556633863409227,0.6621160409556314,0.7828571428571429,0.7073513701647707,0.7282828166230757,30
kireime-casual,0.7313182735523361,0.027661492584382566,0.6688524590163935,0.792022792022792,0.7208127260704352,0.741823821034237,30
lolita,0.9631425870864746,0.010272102872751451,0.9283489096573208,0.9843260188087775,0.9592413491420844,0.9670438250308648,30
mode,0.8243976417106594,0.028049342711608236,0.760942760942761,0.8745980707395499,0.8137447927801834,0.8350504906411355,30
natural,0.8521696327834488,0.02150786545451713,0.7983870967741935,0.8905109489051095,0.8440011689495653,0.8603380966173323,30
retro,0.828536797354124,0.02351476184394929,0.7580645161290323,0.8638132295719844,0.8196061351230962,0.8374674595851518,30
rock,0.8387775183498373,0.020975897921908432,0.7937743190661479,0.8833333333333333,0.8308110902577202,0.8467439464419544,30
street,0.900685480027136,0.017941055675610232,0.869281045751634,0.9342105263157895,0.8938716534882902,0.9074993065659818,30
