Style,Mean,Std,Min,Max,95% CI Lower,95% CI Upper,N
conservative,0.7989090446019349,0.032656819007807356,0.725,0.8688524590163934,0.7865063240456313,0.8113117651582386,30
dressy,0.9618625032923933,0.018760569549189525,0.8972602739726028,0.9923076923076923,0.954737433899074,0.9689875726857127,30
ethnic,0.884298674751686,0.03631075889257217,0.8181818181818182,0.9421487603305785,0.8705082257914175,0.8980891237119545,30
fairy,0.9543479403883837,0.01853595698654603,0.9139072847682119,1.0,0.947308176512642,0.9613877042641253,30
feminine,0.7807886426705682,0.040112893030802496,0.7111111111111111,0.8828828828828829,0.7655541826686004,0.7960231026725361,30
gal,0.8651388504388284,0.035663840568644765,0.7719298245614035,0.916030534351145,0.8515940943365357,0.8786836065411212,30
girlish,0.7316940332467367,0.0353453784675357,0.6486486486486487,0.8045112781954887,0.7182702257416385,0.7451178407518348,30
kireime-casual,0.7292135089264883,0.03137124201960674,0.6686046511627907,0.7916666666666666,0.7172990371532169,0.7411279806997597,30
lolita,0.9636493082310104,0.015983986951706778,0.9197530864197531,0.9872611464968153,0.9575787560596483,0.9697198604023725,30
mode,0.8165150581821341,0.03605704485856385,0.708994708994709,0.8774193548387097,0.8028209671759048,0.8302091491883634,30
natural,0.8486951248887327,0.03769733774377912,0.7631578947368421,0.9433962264150944,0.8343780676872669,0.8630121820901985,30
retro,0.8531505208398951,0.039230485791716535,0.7687074829931972,0.9333333333333333,0.838251189939161,0.8680498517406291,30
rock,0.8394626729246567,0.03623260748653004,0.7445255474452555,0.9019607843137255,0.8257019050564135,0.8532234407928999,30
street,0.9045769067312719,0.029018595057109686,0.8313253012048193,0.9513888888888888,0.893555945830462,0.9155978676320817,30
