Style,Mean,Std,Min,Max,CI_95_Lower,CI_95_Upper,CV_%
conservative,0.7474820143884892,0.03545675260532838,0.6834532374100719,0.8201438848920863,0.7340159081430295,0.7609481206339488,4.743492408220062
dressy,0.9641975308641976,0.015069821747819363,0.9333333333333333,1.0,0.9584741691391371,0.9699208925892581,1.562939259376912
ethnic,0.8540051679586564,0.02852343345685844,0.7984496124031008,0.9069767441860465,0.8431722642889156,0.8648380716283973,3.3399602867788847
fairy,0.9467592592592592,0.016852106225186382,0.9166666666666666,0.9791666666666666,0.9403590044075493,0.9531595141109691,1.7799779680392462
feminine,0.7893442622950819,0.03561252956385934,0.7213114754098361,0.860655737704918,0.7758189935792877,0.8028695310108761,4.511660027820186
gal,0.8319347319347318,0.030400596028393158,0.7902097902097902,0.9020979020979021,0.8203889014239556,0.843480562445508,3.654204453959279
girlish,0.5624497991967873,0.03817849470717139,0.4759036144578313,0.6385542168674698,0.547950003579824,0.5769495948137505,6.7878937394399665
kireime-casual,0.6746835443037976,0.034765986590910576,0.5886075949367089,0.7278481012658228,0.6614797838135864,0.6878873047940088,5.152932346495188
lolita,0.9436412445271323,0.017493367676984145,0.9050632911392406,0.98125,0.9369974452387068,0.9502850438155578,1.8538155022834168
mode,0.788945159771223,0.029321778995120812,0.740506329113924,0.8427672955974843,0.7778090527608239,0.8000812667816222,3.716580123721589
natural,0.8813869083043399,0.027197916368193957,0.8203125,0.9453125,0.8710574222528117,0.891716394355868,3.085808980362414
retro,0.7727927509061365,0.03214242985049376,0.6771653543307087,0.824,0.7605853900073006,0.7850001118049724,4.159256128218752
rock,0.8259320284587665,0.032884755871228764,0.725,0.8760330578512396,0.8134427398499889,0.838421317067544,3.981532951639312
street,0.8786904865840233,0.021736659691953646,0.8211920529801324,0.9150326797385621,0.8704351290759231,0.8869458440921234,2.473756120480669
