Style,Mean,Std,Min,Max,CI_95_Lower,CI_95_Upper,CV_%
conservative,0.7260265865300948,0.019951161571169072,0.6783216783216783,0.7808219178082192,0.7184493426570244,0.7336038304031651,2.747993247261348
dressy,0.9575681578841273,0.010356999545573833,0.9338235294117647,0.981549815498155,0.9536346770654718,0.9615016387027828,1.0815939795302911
ethnic,0.8466612779563863,0.021964843709216936,0.7953667953667953,0.8897338403041826,0.8383192585293511,0.8550032973834216,2.5942893907034685
fairy,0.9317440173653957,0.01361572896837154,0.8881578947368421,0.9586206896551724,0.9265729049700118,0.9369151297607796,1.4613164897877688
feminine,0.7305922535187299,0.024127689182114435,0.6763636363636363,0.7692307692307692,0.7214288078529542,0.7397556991845057,3.302483576291557
gal,0.8396501162926725,0.01980221299232157,0.8098591549295774,0.8927335640138407,0.8321294415422795,0.8471707910430655,2.3583886440407777
girlish,0.6440791197957128,0.028639604762009628,0.5830258302583026,0.7066666666666667,0.63320209547129,0.6549561441201355,4.446597301755949
kireime-casual,0.692626237748214,0.021372794575235204,0.6369863013698631,0.7395498392282959,0.6845090724309014,0.7007434030655265,3.085761614333288
lolita,0.9420810058616153,0.011450860138872213,0.9137380191693291,0.9622641509433963,0.9377320881547867,0.9464299235684438,1.2154857244361277
mode,0.8004068542567158,0.023501278171196405,0.7548387096774193,0.8387096774193549,0.7914813129845047,0.8093323955289268,2.9361665315847985
natural,0.8123897781423748,0.020278370210877115,0.7724137931034484,0.8642857142857143,0.8046882638276261,0.8200912924571234,2.496138030841058
retro,0.7965639301652657,0.021189721872014046,0.7572016460905351,0.8403361344537816,0.7885162939585195,0.8046115663720119,2.66014077082523
rock,0.7990314251417856,0.022510706878132152,0.7219917012448133,0.8366533864541832,0.7904820925546898,0.8075807577288814,2.8172492557645903
street,0.8835800096886756,0.017998502507224876,0.8376623376623376,0.9163879598662208,0.8767443654400525,0.8904156539372986,2.036997477293148
