Style,Mean,Std,Min,Max,CI_95_Lower,CI_95_Upper,CV_%
conservative,0.7078721609963524,0.0339623246498445,0.6481481481481481,0.7868852459016393,0.6949736229613471,0.7207706990313577,4.797804818604741
dressy,0.9512315058730845,0.013575211021699493,0.9219858156028369,0.9779411764705882,0.946075781772867,0.9563872299733019,1.4271195747705532
ethnic,0.8401126974571184,0.026966354678552656,0.7816901408450704,0.888,0.8298711561294005,0.8503542387848362,3.209849673761072
fairy,0.9176735889879254,0.022966192774213204,0.84375,0.9571428571428572,0.9089512675899757,0.9263959103858751,2.5026537812363028
feminine,0.6808169788119044,0.026720317222245098,0.6078431372549019,0.7348484848484849,0.6706688799537742,0.6909650776700346,3.9247430739572327
gal,0.8483561763107492,0.023703149545892692,0.8095238095238095,0.9,0.839353966387863,0.8573583862336355,2.7940091918668757
girlish,0.7555665803980157,0.02588945483745994,0.6861313868613139,0.808695652173913,0.7457340344410046,0.7653991263550268,3.426495494787759
kireime-casual,0.7134373488403125,0.0301079223915728,0.654320987654321,0.7906976744186046,0.702002672735935,0.72487202494469,4.2201214220860495
lolita,0.9409296233830623,0.018397418092535194,0.9085365853658537,0.9735099337748344,0.9339424751398532,0.9479167716262714,1.9552384828089755
mode,0.8128612696621044,0.027541533963532504,0.7547169811320755,0.8723404255319149,0.8024012812180378,0.823321258106171,3.3882207199982792
natural,0.7541080449535714,0.02675098893042977,0.691358024691358,0.8076923076923077,0.7439482972993503,0.7642677926077925,3.5473681933835843
retro,0.8235075820920271,0.033085655780448836,0.7692307692307693,0.9047619047619048,0.8109419937850687,0.8360731703989855,4.017650413903719
rock,0.77480792784546,0.02836232239738864,0.71900826446281,0.8623853211009175,0.7640362124821692,0.7855796432087508,3.660561718341848
street,0.8890652177758718,0.02528355484396682,0.821656050955414,0.9319727891156463,0.879462786341116,0.8986676492106276,2.8438357882470506
