Style,Test_F1_Mean,Test_F1_Std,Test_Precision_Mean,Test_Precision_Std,Test_Recall_Mean,Test_Recall_Std,Test_Accuracy_Mean,Test_Accuracy_Std
conservative,0.7260265865300948,0.019951161571169072,0.7078721609963524,0.0339623246498445,0.7474820143884892,0.03545675260532838,0.7474820143884892,0.03545675260532838
dressy,0.9575681578841273,0.010356999545573833,0.9512315058730845,0.013575211021699493,0.9641975308641976,0.015069821747819363,0.9641975308641976,0.015069821747819363
ethnic,0.8466612779563863,0.021964843709216936,0.8401126974571184,0.026966354678552656,0.8540051679586564,0.02852343345685844,0.8540051679586564,0.02852343345685844
fairy,0.9317440173653957,0.01361572896837154,0.9176735889879254,0.022966192774213204,0.9467592592592592,0.016852106225186382,0.9467592592592592,0.016852106225186382
feminine,0.7305922535187299,0.024127689182114435,0.6808169788119044,0.026720317222245098,0.7893442622950819,0.03561252956385934,0.7893442622950819,0.03561252956385934
gal,0.8396501162926725,0.01980221299232157,0.8483561763107492,0.023703149545892692,0.8319347319347318,0.030400596028393158,0.8319347319347318,0.030400596028393158
girlish,0.6440791197957128,0.028639604762009628,0.7555665803980157,0.02588945483745994,0.5624497991967873,0.03817849470717139,0.5624497991967873,0.03817849470717139
kireime-casual,0.692626237748214,0.021372794575235204,0.7134373488403125,0.0301079223915728,0.6746835443037976,0.034765986590910576,0.6746835443037976,0.034765986590910576
lolita,0.9420810058616153,0.011450860138872213,0.9409296233830623,0.018397418092535194,0.9436412445271323,0.017493367676984145,0.9436412445271323,0.017493367676984145
mode,0.8004068542567158,0.023501278171196405,0.8128612696621044,0.027541533963532504,0.788945159771223,0.029321778995120812,0.788945159771223,0.029321778995120812
natural,0.8123897781423748,0.020278370210877115,0.7541080449535714,0.02675098893042977,0.8813869083043399,0.027197916368193957,0.8813869083043399,0.027197916368193957
retro,0.7965639301652657,0.021189721872014046,0.8235075820920271,0.033085655780448836,0.7727927509061365,0.03214242985049376,0.7727927509061365,0.03214242985049376
rock,0.7990314251417856,0.022510706878132152,0.77480792784546,0.02836232239738864,0.8259320284587665,0.032884755871228764,0.8259320284587665,0.032884755871228764
street,0.8835800096886756,0.017998502507224876,0.8890652177758718,0.02528355484396682,0.8786904865840233,0.021736659691953646,0.8786904865840233,0.021736659691953646
