class,acc,precision,recall,f1
conservative,0.6521739130434783,0.6293706293706294,0.6521739130434783,0.6405693950177936
dressy,0.9104477611940298,0.9838709677419355,0.9104477611940298,0.9457364341085271
ethnic,0.7209302325581395,0.9029126213592233,0.7209302325581395,0.8017241379310345
fairy,0.9305555555555556,0.9640287769784173,0.9305555555555556,0.9469964664310954
feminine,0.7851239669421488,0.7307692307692307,0.7851239669421488,0.7569721115537849
gal,0.6783216783216783,0.9509803921568627,0.6783216783216783,0.7918367346938775
girlish,0.46987951807228917,0.6341463414634146,0.46987951807228917,0.5397923875432526
kireime-casual,0.8037974683544303,0.5934579439252337,0.8037974683544303,0.6827956989247311
lolita,0.9874213836477987,0.9289940828402367,0.9874213836477987,0.9573170731707317
mode,0.779874213836478,0.8,0.779874213836478,0.7898089171974523
natural,0.7441860465116279,0.7741935483870968,0.7441860465116279,0.758893280632411
retro,0.8031496062992126,0.6580645161290323,0.8031496062992126,0.723404255319149
rock,0.8524590163934426,0.7222222222222222,0.8524590163934426,0.7819548872180451
street,0.8300653594771242,0.8089171974522293,0.8300653594771242,0.8193548387096774
