Style,F1-Score,Precision,Recall,95% CI (F1)
conservative,0.7639 +/- 0.0241,0.7648 +/- 0.0427,0.7659 +/- 0.0390,"[0.7547, 0.7731]"
dressy,0.9585 +/- 0.0105,0.9570 +/- 0.0183,0.9605 +/- 0.0184,"[0.9545, 0.9625]"
ethnic,0.8660 +/- 0.0149,0.8598 +/- 0.0291,0.8734 +/- 0.0227,"[0.8603, 0.8717]"
fairy,0.9633 +/- 0.0104,0.9589 +/- 0.0173,0.9681 +/- 0.0140,"[0.9593, 0.9672]"
feminine,0.7785 +/- 0.0232,0.7748 +/- 0.0408,0.7850 +/- 0.0375,"[0.7697, 0.7873]"
gal,0.8503 +/- 0.0180,0.8586 +/- 0.0302,0.8438 +/- 0.0339,"[0.8434, 0.8571]"
girlish,0.6882 +/- 0.0291,0.7039 +/- 0.0366,0.6747 +/- 0.0370,"[0.6772, 0.6993]"
kireime-casual,0.7046 +/- 0.0182,0.6894 +/- 0.0239,0.7219 +/- 0.0323,"[0.6977, 0.7116]"
lolita,0.9692 +/- 0.0100,0.9731 +/- 0.0141,0.9657 +/- 0.0166,"[0.9654, 0.9730]"
mode,0.8139 +/- 0.0206,0.8185 +/- 0.0281,0.8104 +/- 0.0282,"[0.8061, 0.8218]"
natural,0.8355 +/- 0.0179,0.8565 +/- 0.0402,0.8181 +/- 0.0370,"[0.8287, 0.8423]"
retro,0.7837 +/- 0.0221,0.7777 +/- 0.0375,0.7926 +/- 0.0422,"[0.7753, 0.7921]"
rock,0.8231 +/- 0.0178,0.8149 +/- 0.0272,0.8328 +/- 0.0300,"[0.8164, 0.8299]"
street,0.8745 +/- 0.0130,0.8867 +/- 0.0232,0.8633 +/- 0.0232,"[0.8695, 0.8794]"
