Style,Mean,Std,Min,Max,95% CI Lower,95% CI Upper,N
conservative,0.7639007054890129,0.024104524418282508,0.7075812274368231,0.8058608058608059,0.7547460575598597,0.7730553534181661,30
dressy,0.9584825058206543,0.010456887504018277,0.9347826086956522,0.9781021897810218,0.9545110885932129,0.9624539230480957,30
ethnic,0.8660036605145681,0.014900029448175851,0.8333333333333333,0.893280632411067,0.860344784140778,0.8716625368883583,30
fairy,0.9632927182374209,0.010393957892626803,0.9288135593220338,0.9828178694158075,0.9593452010225502,0.9672402354522917,30
feminine,0.7785101533197155,0.02319102322440585,0.738095238095238,0.818565400843882,0.7697024436527609,0.7873178629866702,30
gal,0.8502627793417591,0.017957883859262853,0.8153310104529616,0.8842105263157896,0.8434425616336061,0.8570829970499121,30
girlish,0.6882331256255099,0.02908039725067024,0.6129032258064515,0.7393939393939394,0.6771886928937078,0.699277558357312,30
kireime-casual,0.704638216272194,0.018242406694273103,0.6556291390728477,0.750788643533123,0.6977099397474835,0.7115664927969045,30
lolita,0.9691993433734422,0.009986684883309963,0.9423076923076923,0.9845201238390093,0.965406504215962,0.9729921825309223,30
mode,0.8139397402342851,0.02061520061926473,0.7834394904458599,0.8486842105263156,0.8061103012300834,0.8217691792384867,30
natural,0.835469487599329,0.017859336760123332,0.804270462633452,0.874015748031496,0.8286866970555294,0.8422522781431286,30
retro,0.7836895610493902,0.0221189694963301,0.7315175097276263,0.8421052631578947,0.7752890062497694,0.7920901158490111,30
rock,0.8231439930777196,0.017799398701931174,0.7888446215139442,0.8524590163934428,0.8163839663856677,0.8299040197697715,30
street,0.8744519561007876,0.013027615870888276,0.8514851485148515,0.9036544850498338,0.8695042029493596,0.8793997092522157,30
