Style,Mean,Std,Min,Max,95% CI Lower,95% CI Upper,N
conservative,0.7647928930769586,0.042671155711619405,0.6666666666666666,0.8359375,0.7485868314890493,0.780998954664868,30
dressy,0.9569568417795099,0.018276281612847885,0.9148936170212766,0.9922480620155039,0.9500156999126835,0.9638979836463363,30
ethnic,0.8598173812052043,0.029141292171243442,0.8014184397163121,0.9112903225806451,0.848749821215264,0.8708849411951447,30
fairy,0.9588667980119523,0.017319710946009953,0.9072847682119205,0.986013986013986,0.9522889517456653,0.9654446442782393,30
feminine,0.7747820683277039,0.040781064140656145,0.6896551724137931,0.8434782608695652,0.759293843880481,0.7902702927749268,30
gal,0.8585576704884553,0.03020509711483682,0.8066666666666666,0.9298245614035088,0.847086088433823,0.8700292525430876,30
girlish,0.7039430120694495,0.036613158679833106,0.6388888888888888,0.7666666666666667,0.6900377148118993,0.7178483093269997,30
kireime-casual,0.689426527885741,0.023894558388132914,0.6436781609195402,0.7484276729559748,0.6803516228733011,0.6985014328981809,30
lolita,0.9730563981364005,0.01408088614963874,0.9454545454545454,1.0,0.9677086238765333,0.9784041723962678,30
mode,0.8184705393662777,0.028107423346602833,0.7619047619047619,0.8819444444444444,0.8077956320140858,0.8291454467184696,30
natural,0.8565115806265965,0.040192885790357805,0.743421052631579,0.9532710280373832,0.8412467402056707,0.8717764210475223,30
retro,0.7777277436754907,0.03750645711029646,0.6624203821656051,0.8524590163934426,0.7634831809553806,0.7919723063956008,30
rock,0.8149013935645104,0.027232085632787773,0.7615384615384615,0.8584905660377359,0.8045589303813065,0.8252438567477143,30
street,0.8867203344392907,0.0232226341894272,0.8364779874213837,0.9407407407407408,0.8779006192562574,0.8955400496223239,30
