Style,Mean,Std,Min,Max,95% CI Lower,95% CI Upper,N
conservative,0.765947242206235,0.03895240384507811,0.6834532374100719,0.841726618705036,0.7511535239395755,0.7807409604728945,30
dressy,0.9604938271604939,0.018378068213262596,0.9111111111111111,0.9925925925925926,0.9535140278003882,0.9674736265205996,30
ethnic,0.8733850129198969,0.0226743265824086,0.813953488372093,0.9069767441860465,0.8647735392691182,0.8819964865706756,30
fairy,0.9680555555555557,0.013958160584890139,0.9375,0.9930555555555556,0.9627543911900669,0.9733567199210444,30
feminine,0.7849726775956284,0.03754321069427433,0.7131147540983607,0.8442622950819673,0.7707141562461916,0.7992311989450652,30
gal,0.843822843822844,0.03393990624373202,0.7412587412587412,0.8951048951048951,0.830932820065554,0.856712867580134,30
girlish,0.6746987951807228,0.03697179244883928,0.572289156626506,0.7349397590361446,0.6606572925438927,0.688740297817553,30
kireime-casual,0.7219409282700421,0.03231086872417999,0.6265822784810127,0.7721518987341772,0.7096695960370524,0.7342122605030318,30
lolita,0.9656546048911885,0.01659522131459716,0.9245283018867925,0.99375,0.9593519122594978,0.9719572975228792,30
mode,0.8103501881258783,0.028196588829029014,0.759493670886076,0.8607594936708861,0.7996414166498863,0.8210589596018704,30
natural,0.8181381964790738,0.03696902331999894,0.7421875,0.8828125,0.8040977455286061,0.8321786474295415,30
retro,0.7926369037203682,0.042182949760248216,0.7165354330708661,0.8976377952755905,0.7766162576803519,0.8086575497603845,30
rock,0.8328141807687259,0.030034916835095606,0.7583333333333333,0.9173553719008265,0.821407231416174,0.8442211301212779,30
street,0.8633313158272132,0.023173975870472242,0.8223684210526315,0.9144736842105263,0.8545300805681613,0.8721325510862652,30
