Style,Test_F1_Mean,Test_F1_Std,Test_Precision_Mean,Test_Precision_Std,Test_Recall_Mean,Test_Recall_Std,Test_Accuracy_Mean,Test_Accuracy_Std
conservative,0.7639007054890129,0.024104524418282508,0.7647928930769586,0.042671155711619405,0.765947242206235,0.03895240384507811,0.765947242206235,0.03895240384507811
dressy,0.9584825058206543,0.010456887504018277,0.9569568417795099,0.018276281612847885,0.9604938271604939,0.018378068213262596,0.9604938271604939,0.018378068213262596
ethnic,0.8660036605145681,0.014900029448175851,0.8598173812052043,0.029141292171243442,0.8733850129198969,0.0226743265824086,0.8733850129198969,0.0226743265824086
fairy,0.9632927182374209,0.010393957892626803,0.9588667980119523,0.017319710946009953,0.9680555555555557,0.013958160584890139,0.9680555555555557,0.013958160584890139
feminine,0.7785101533197155,0.02319102322440585,0.7747820683277039,0.040781064140656145,0.7849726775956284,0.03754321069427433,0.7849726775956284,0.03754321069427433
gal,0.8502627793417591,0.017957883859262853,0.8585576704884553,0.03020509711483682,0.843822843822844,0.03393990624373202,0.843822843822844,0.03393990624373202
girlish,0.6882331256255099,0.02908039725067024,0.7039430120694495,0.036613158679833106,0.6746987951807228,0.03697179244883928,0.6746987951807228,0.03697179244883928
kireime-casual,0.704638216272194,0.018242406694273103,0.689426527885741,0.023894558388132914,0.7219409282700421,0.03231086872417999,0.7219409282700421,0.03231086872417999
lolita,0.9691993433734422,0.009986684883309963,0.9730563981364005,0.01408088614963874,0.9656546048911885,0.01659522131459716,0.9656546048911885,0.01659522131459716
mode,0.8139397402342851,0.02061520061926473,0.8184705393662777,0.028107423346602833,0.8103501881258783,0.028196588829029014,0.8103501881258783,0.028196588829029014
natural,0.835469487599329,0.017859336760123332,0.8565115806265965,0.040192885790357805,0.8181381964790738,0.03696902331999894,0.8181381964790738,0.03696902331999894
retro,0.7836895610493902,0.0221189694963301,0.7777277436754907,0.03750645711029646,0.7926369037203682,0.042182949760248216,0.7926369037203682,0.042182949760248216
rock,0.8231439930777196,0.017799398701931174,0.8149013935645104,0.027232085632787773,0.8328141807687259,0.030034916835095606,0.8328141807687259,0.030034916835095606
street,0.8744519561007876,0.013027615870888276,0.8867203344392907,0.0232226341894272,0.8633313158272132,0.023173975870472242,0.8633313158272132,0.023173975870472242
