Style,F1-Score,Precision,Recall,95% CI (F1)
conservative,0.7910 ± 0.0220,0.7742 ± 0.0302,0.8115 ± 0.0482,"[0.7827, 0.7994]"
dressy,0.9564 ± 0.0119,0.9586 ± 0.0204,0.9546 ± 0.0153,"[0.9519, 0.9609]"
ethnic,0.8429 ± 0.0216,0.8283 ± 0.0326,0.8597 ± 0.0336,"[0.8347, 0.8512]"
fairy,0.9315 ± 0.0126,0.9165 ± 0.0287,0.9484 ± 0.0247,"[0.9267, 0.9363]"
feminine,0.7623 ± 0.0276,0.7317 ± 0.0478,0.7997 ± 0.0465,"[0.7518, 0.7727]"
gal,0.8639 ± 0.0147,0.8693 ± 0.0398,0.8611 ± 0.0313,"[0.8583, 0.8695]"
girlish,0.6946 ± 0.0252,0.7491 ± 0.0375,0.6514 ± 0.0501,"[0.6851, 0.7042]"
kireime-casual,0.7220 ± 0.0221,0.7500 ± 0.0485,0.6987 ± 0.0291,"[0.7136, 0.7304]"
lolita,0.9305 ± 0.0182,0.9384 ± 0.0261,0.9235 ± 0.0268,"[0.9236, 0.9374]"
mode,0.8066 ± 0.0249,0.8352 ± 0.0451,0.7836 ± 0.0480,"[0.7971, 0.8160]"
natural,0.8095 ± 0.0270,0.7807 ± 0.0475,0.8444 ± 0.0455,"[0.7992, 0.8197]"
retro,0.8016 ± 0.0244,0.8211 ± 0.0292,0.7853 ± 0.0474,"[0.7923, 0.8108]"
rock,0.8270 ± 0.0250,0.8013 ± 0.0409,0.8573 ± 0.0438,"[0.8175, 0.8365]"
street,0.8954 ± 0.0185,0.8988 ± 0.0387,0.8939 ± 0.0300,"[0.8883, 0.9024]"
