Style,Mean,Std,Min,Max,CI_95_Lower,CI_95_Upper,CV_%
conservative,0.7910479659162292,0.02196212320632396,0.7518796992481204,0.8372093023255814,0.7827069797079268,0.7993889521245315,2.7763326817845226
dressy,0.9563866504680456,0.011897061592362937,0.9314079422382672,0.981549815498155,0.951868270085194,0.9609050308508972,1.2439593951400973
ethnic,0.8429444674782951,0.02163466335605625,0.8028673835125447,0.8774703557312252,0.8347278471188314,0.8511610878377588,2.566558556434599
fairy,0.9315370547904455,0.01262233849266818,0.903225806451613,0.9517241379310345,0.926743221776452,0.936330887804439,1.3550012238115046
feminine,0.7622626367103931,0.02755571793485068,0.7120000000000001,0.8132780082987552,0.7517972613413906,0.7727280120793956,3.614989979539026
gal,0.8638942989282838,0.014721700644534777,0.8360128617363344,0.8970588235294117,0.8583031499812884,0.8694854478752793,1.7041090169014876
girlish,0.6946492770910709,0.025227591881670328,0.6405693950177935,0.75,0.6850680998079428,0.7042304543741991,3.6317020277216674
kireime-casual,0.7220273411593098,0.02214699760110311,0.6711409395973155,0.7676767676767676,0.7136161415767068,0.7304385407419127,3.067335035477077
lolita,0.9305077618288513,0.018167125184446607,0.8722741433021807,0.9683544303797469,0.9236080764394015,0.9374074472183012,1.952388355013861
mode,0.806594109155106,0.024869614618783703,0.7482993197278911,0.8617363344051446,0.7971488879170547,0.8160393303931572,3.0832874101738996
natural,0.8094589804272208,0.026961279040744933,0.7635135135135134,0.8702290076335878,0.7992193667740066,0.8196985940804349,3.3307776790017405
retro,0.801550282183766,0.024356037422220658,0.7447698744769874,0.8461538461538461,0.7923001122289257,0.8108004521386063,3.0386162869114575
rock,0.8269639903273569,0.024986648731137085,0.7611336032388664,0.8745247148288974,0.8174743207494128,0.836453659905301,3.0214917485398636
street,0.8953556909356177,0.01845193096073879,0.8440366972477066,0.9249999999999999,0.8883478392714511,0.9023635425997844,2.0608492409823316
