Style,F1-Score,Precision,Recall,Accuracy,95% CI (F1)
conservative,0.2978 ± 0.0209,0.2465 ± 0.0219,0.3806 ± 0.0423,0.3806 ± 0.0423,"[0.2899, 0.3058]"
dressy,0.6307 ± 0.0251,0.5055 ± 0.0353,0.8430 ± 0.0317,0.8430 ± 0.0317,"[0.6212, 0.6402]"
ethnic,0.1130 ± 0.0374,0.3024 ± 0.1067,0.0705 ± 0.0242,0.0705 ± 0.0242,"[0.0988, 0.1272]"
fairy,0.4893 ± 0.0302,0.4149 ± 0.0397,0.5998 ± 0.0311,0.5998 ± 0.0311,"[0.4778, 0.5008]"
feminine,0.1392 ± 0.0305,0.1608 ± 0.0317,0.1249 ± 0.0338,0.1249 ± 0.0338,"[0.1276, 0.1508]"
gal,0.1015 ± 0.0293,0.2534 ± 0.0521,0.0648 ± 0.0215,0.0648 ± 0.0215,"[0.0903, 0.1126]"
girlish,0.0451 ± 0.0224,0.1975 ± 0.0761,0.0257 ± 0.0133,0.0257 ± 0.0133,"[0.0366, 0.0536]"
kireime-casual,0.2783 ± 0.0187,0.2163 ± 0.0150,0.3941 ± 0.0459,0.3941 ± 0.0459,"[0.2713, 0.2854]"
lolita,0.4826 ± 0.0253,0.4542 ± 0.0283,0.5181 ± 0.0447,0.5181 ± 0.0447,"[0.4730, 0.4922]"
mode,0.2103 ± 0.0349,0.3088 ± 0.0447,0.1635 ± 0.0408,0.1635 ± 0.0408,"[0.1971, 0.2235]"
natural,0.1889 ± 0.0340,0.2336 ± 0.0315,0.1618 ± 0.0387,0.1618 ± 0.0387,"[0.1760, 0.2019]"
retro,0.1152 ± 0.0361,0.1977 ± 0.0565,0.0832 ± 0.0292,0.0832 ± 0.0292,"[0.1015, 0.1289]"
rock,0.3135 ± 0.0328,0.2448 ± 0.0259,0.4479 ± 0.0839,0.4479 ± 0.0839,"[0.3010, 0.3259]"
street,0.4372 ± 0.0274,0.3738 ± 0.0379,0.5399 ± 0.0739,0.5399 ± 0.0739,"[0.4268, 0.4476]"
