Style,Mean,Std,Min,Max,CI_95_Lower,CI_95_Upper,CV_%
conservative,0.3805755395683453,0.04225049456122597,0.2733812949640288,0.45323741007194246,0.3645292407147051,0.39662183842198545,11.101736756163346
dressy,0.842962962962963,0.03173968190463489,0.7777777777777778,0.8888888888888888,0.8309085615494315,0.8550173643764946,3.765252247034894
ethnic,0.07054263565891472,0.02421369254112171,0.0,0.13178294573643412,0.06134652681095895,0.07973874450687049,34.32490481104067
fairy,0.5997685185185186,0.031081507354877493,0.5347222222222222,0.6736111111111112,0.5879640849605814,0.6115729520764559,5.182250550871121
feminine,0.12486338797814207,0.03384119960767584,0.06557377049180328,0.19672131147540983,0.1120108519756688,0.13771592398061533,27.102579992143017
gal,0.06480186480186481,0.021510996727383363,0.02097902097902098,0.1048951048951049,0.0566322117430805,0.07297151786064912,33.19502732391173
girlish,0.02570281124497992,0.013283401934571268,0.0,0.05421686746987952,0.02065791320417062,0.03074770928578922,51.680735651691336
kireime-casual,0.39409282700421944,0.045871402668708317,0.27848101265822783,0.4810126582278481,0.3766713448724277,0.41151430913601117,11.639745645057676
lolita,0.5181250000000001,0.044731548803203014,0.3875,0.60625,0.5011364225232975,0.5351135774767026,8.633350794345574
mode,0.16352201257861634,0.04079171134575641,0.11320754716981132,0.2578616352201258,0.14802974443352035,0.17901428072371234,24.945700399904883
natural,0.1617571059431525,0.03874590624853036,0.08527131782945736,0.23255813953488372,0.1470418133181612,0.1764723985681438,23.953140124890165
retro,0.0832020997375328,0.029228288004889212,0.023622047244094488,0.14960629921259844,0.07210149963385652,0.09430269984120908,35.12926728663341
rock,0.4479338842975206,0.08388599382182066,0.256198347107438,0.6033057851239669,0.4160748554156468,0.47979291317939443,18.727315963911995
street,0.5398692810457516,0.07393810409343524,0.35947712418300654,0.6797385620915033,0.5117883573245976,0.5679502047669056,13.695556811495873
