Style,Mean,Std,Min,Max,CI_95_Lower,CI_95_Upper,CV_%
conservative,0.29780821525082984,0.02092905702230868,0.2412698412698413,0.3400576368876081,0.2898595768457059,0.3057568536559538,7.027696332917182
dressy,0.6306884105210674,0.025094897023647332,0.5742092457420924,0.6829268292682926,0.6211576293663228,0.640219191675812,3.97896910820261
ethnic,0.11302578226859178,0.03743488656250216,0.0,0.20359281437125748,0.09880840129891919,0.12724316323826437,33.120661331538315
fairy,0.48928175202468427,0.030221017617196477,0.4308510638297872,0.5677419354838711,0.47780412352866913,0.5007593805206995,6.176608363614555
feminine,0.13921813594844926,0.030498667787255712,0.07766990291262135,0.20095693779904306,0.12763505880261825,0.15080121309428027,21.907108279735183
gal,0.10145530963301115,0.029303273974157766,0.03896103896103896,0.1507537688442211,0.09032623063730748,0.11258438862871482,28.882937798085607
girlish,0.04509154128356636,0.022430556851280238,0.0,0.09326424870466321,0.0365726488439138,0.053610433723218914,49.74448912762064
kireime-casual,0.27833487620687636,0.018651943809686107,0.2239185750636132,0.31779661016949157,0.27125106174080393,0.2854186906729488,6.701260030317862
lolita,0.4825807099419318,0.02526885990660924,0.42465753424657543,0.5373961218836566,0.47298385949170474,0.4921775603921589,5.236193529088596
mode,0.2102924935332496,0.034858941569685,0.15510204081632653,0.2789115646258503,0.19705342970789788,0.22353155735860133,16.576407927833813
natural,0.18894868776012247,0.03401746481250418,0.12021857923497267,0.25550660792951546,0.17602920806424285,0.20186816745600208,18.003546473786916
retro,0.11520364270621995,0.03611434408727089,0.04137931034482759,0.19387755102040818,0.10148779004826405,0.12891949536417585,31.348265765663193
rock,0.313475392092544,0.032825990000279893,0.22545454545454546,0.3701492537313433,0.3010084221509781,0.32594236203410987,10.4716321690058
street,0.437195206626465,0.02737930513664933,0.3833333333333333,0.48427672955974843,0.42679683100529847,0.4475935822476315,6.262489780690099
