Style,Mean,Std,Min,Max,CI_95_Lower,CI_95_Upper,CV_%
conservative,0.2464578871837932,0.021861521975431907,0.21224489795918366,0.30864197530864196,0.2381551082777414,0.254760666089845,8.870287019513773
dressy,0.5054603381978403,0.035276909814966555,0.427536231884058,0.5803108808290155,0.49206253437560166,0.518858142020079,6.979164763103323
ethnic,0.3024492621457373,0.10669255326001445,0.0,0.5,0.26192853894835094,0.3429699853431237,35.276182359672575
fairy,0.41492557271411074,0.039672265606390304,0.34913793103448276,0.5301204819277109,0.39985845842983575,0.4299926869983857,9.561296824123449
feminine,0.1608194403407735,0.03166416009779121,0.09523809523809523,0.2413793103448276,0.1487937213248131,0.1728451593567339,19.68926146658353
gal,0.253389533896239,0.0521205678953478,0.12962962962962962,0.36666666666666664,0.2335946837399116,0.27318438405256645,20.569345187197335
girlish,0.19751835556176095,0.07614796771164206,0.0,0.3333333333333333,0.1685981485987943,0.2264385625247276,38.55234998037019
kireime-casual,0.21633350882887517,0.014963615291454957,0.1794871794871795,0.24180327868852458,0.21065048321246166,0.22201653444528868,6.916919793175233
lolita,0.4541774552474124,0.028302022696313812,0.39915966386554624,0.5205479452054794,0.4434286410840787,0.46492626941074605,6.231489997867977
mode,0.3087853572563915,0.04473359773953844,0.22093023255813954,0.43478260869565216,0.2917960016149571,0.3257747128978259,14.486955643558938
natural,0.23364294261872348,0.03151550972646207,0.16483516483516483,0.29591836734693877,0.22167367946932331,0.24561220576812365,13.488748846093547
retro,0.19769047446862145,0.056523202464313804,0.07142857142857142,0.30952380952380953,0.1762235494461733,0.2191573994910696,28.59176832684748
rock,0.24475875294760205,0.025887205568737526,0.2012987012987013,0.31851851851851853,0.2349270612394819,0.2545904446557222,10.57662096124483
street,0.3738371291311823,0.037949767956267005,0.3147410358565737,0.4666666666666667,0.359424201557752,0.38825005670461255,10.15141755567841
