Style,F1_Mean,F1_Std,F1_CV%,Precision_Mean,Recall_Mean
conservative,0.7585212884971927,0.023031593398156344,3.0363806194269505,0.7150147626272981,0.8129496402877697
dressy,0.9616115500926739,0.00715256220472952,0.7438099307397257,0.9588626066382503,0.9644444444444444
ethnic,0.8419797242612492,0.019537543879851408,2.320429259385503,0.8442479594730731,0.8449612403100775
fairy,0.9128763806077569,0.005597111468468044,0.6131291801789974,0.8995517895061982,0.9291666666666666
feminine,0.7349003728959723,0.011881407505308632,1.6167371719364314,0.7149669293186085,0.7573770491803279
gal,0.8424454874650458,0.016147002736030886,1.9166822039272717,0.8363470493904576,0.848951048951049
girlish,0.6631960912921053,0.015636484966166063,2.357746852171805,0.7368251930515872,0.6036144578313254
kireime-casual,0.6812487578557868,0.025888501256522794,3.8001539023727835,0.7183872332845519,0.6518987341772152
lolita,0.9203574895771682,0.00992761215206333,1.0786691328631752,0.922563834809812,0.91875
mode,0.7901657016583273,0.0074927776474504135,0.9482539715056295,0.8151477388407844,0.7685534591194969
natural,0.7834165989261784,0.025267139577932557,3.2252494538111622,0.7507946378245786,0.82015503875969
retro,0.7797402394347028,0.02276619315474713,2.919715054240653,0.8072831697599835,0.7606299212598426
rock,0.7817809712371512,0.026005030784470248,3.3263831867534273,0.7677954266166659,0.7966942148760331
street,0.8726537136968066,0.017702740398547506,2.0286099882109845,0.8604865266118775,0.8875816993464053
