Style,F1_Mean,F1_Std,F1_CV%,Precision_Mean,Recall_Mean
conservative,0.7562084492611831,0.01773858786954447,2.345727277561511,0.7211690388346018,0.7956834532374101
dressy,0.9521954132519916,0.007549544191785145,0.792856601356807,0.9460497975631785,0.9585185185185185
ethnic,0.8253159141887565,0.01353435699500867,1.639900159723959,0.8544524227660378,0.7984496124031008
fairy,0.9162987972629504,0.008998322522937249,0.982029284532063,0.9154103324491218,0.9180555555555555
feminine,0.7453352038765906,0.019973923532134123,2.6798577912658637,0.714411114820817,0.7803278688524591
gal,0.8494129970823598,0.015086234573810678,1.7760776707714896,0.8286046409615301,0.8713286713286713
girlish,0.6441393094954572,0.02170800398802531,3.3700790602313657,0.7393369116944847,0.5710843373493976
kireime-casual,0.6656897356544457,0.02012129982066194,3.022624316248546,0.6783249057673781,0.6544303797468355
lolita,0.9191394086677995,0.013971188522039586,1.5200293220252001,0.9076812346602507,0.93125
mode,0.8004177278107587,0.015258793696630425,1.9063537908343322,0.8056514628896639,0.7962264150943396
natural,0.7947677761286489,0.01744384130714126,2.1948349984835858,0.7387843451546117,0.8620155038759689
retro,0.7628732807910478,0.038232366265901,5.011627386694764,0.8028528753822792,0.7275590551181103
rock,0.8064491437332022,0.017049087093936037,2.1140932725171804,0.8028503706547797,0.8115702479338843
street,0.8982678767550644,0.013324322863360506,1.4833351173030673,0.8924106166014216,0.9045751633986928
