seed,clip_similarity_mean,n_test
13,0.2998110353946686,1982
14,0.29978147149086,1982
16,0.3001115918159485,1982
17,0.2992623448371887,1982
45,0.2994159460067749,1982
48,0.29988881945610046,1982
53,0.30010172724723816,1982
58,0.300976425409317,1982
72,0.29925790429115295,1982
102,0.2996875047683716,1982
112,0.29981955885887146,1982
115,0.30012980103492737,1982
120,0.3008610010147095,1982
126,0.30035400390625,1982
141,0.29979804158210754,1982
215,0.29973921179771423,1982
217,0.3003116548061371,1982
259,0.30036744475364685,1982
280,0.29946285486221313,1982
288,0.2989901006221771,1982
303,0.29950329661369324,1982
309,0.29940265417099,1982
328,0.3000365197658539,1982
333,0.30020347237586975,1982
347,0.2998794615268707,1982
360,0.3002132475376129,1982
367,0.29971927404403687,1982
378,0.29990366101264954,1982
380,0.30061012506484985,1982
457,0.30138838291168213,1982
