seed,accuracy,macro_f1,n_test
13,0.2714429868819374,0.2083064926692096,1982
14,0.272452068617558,0.2114634115224628,1982
16,0.272452068617558,0.21048615566926995,1982
17,0.260343087790111,0.20450460231834966,1982
45,0.2704339051463169,0.2131146316339536,1982
48,0.26992936427850656,0.21403078971458783,1982
53,0.2704339051463169,0.2125384194985638,1982
58,0.2674066599394551,0.20506160043724625,1982
72,0.2714429868819374,0.21547169126130145,1982
102,0.2739656912209889,0.21123959250529153,1982
112,0.2759838546922301,0.21762527201555013,1982
115,0.2669021190716448,0.20345728027206694,1982
120,0.2729566094853683,0.21489293940694773,1982
126,0.281029263370333,0.2203559363011144,1982
141,0.27547931382441976,0.2179711356544054,1982
215,0.2714429868819374,0.21458085230994337,1982
217,0.2674066599394551,0.20891166246571055,1982
259,0.2658930373360242,0.20624785856331673,1982
280,0.2734611503531786,0.2142511312752116,1982
288,0.2704339051463169,0.21066501817671474,1982
303,0.2749747729566095,0.21688972446251983,1982
309,0.27194752774974773,0.21457857874489422,1982
328,0.2759838546922301,0.21396792035088877,1982
333,0.26337033299697277,0.20580089554033748,1982
347,0.27093844601412714,0.21290847827015874,1982
360,0.27800201816347125,0.21790663306213623,1982
367,0.2613521695257316,0.2056743040609246,1982
378,0.26437941473259335,0.2052833032143727,1982
380,0.26639757820383453,0.2051439850202516,1982
457,0.27194752774974773,0.21367274482412899,1982
