merge_key,semantic,style_fit
dataset/dressy/dressy_103.jpg,5.0,5.0
dataset/kireime-casual/kireime-casual_704.jpg,4.0,4.0
dataset/mode/mode_370.jpg,5.0,5.0
dataset/natural/natural_430.jpg,4.0,4.0
dataset/rock/rock_119.jpg,3.0,4.0
dataset/dressy/dressy_600.jpg,4.0,5.0
dataset/street/street_560.jpg,5.0,5.0
dataset/mode/mode_1019.jpg,3.0,4.0
dataset/conservative/conservative_90.jpg,4.0,3.0
dataset/retro/retro_160.jpg,5.0,5.0
dataset/kireime-casual/kireime-casual_757.jpg,5.0,5.0
dataset/mode/mode_747.jpg,4.0,4.0
dataset/ethnic/ethnic_812.jpg,3.0,2.0
dataset/dressy/dressy_531.jpg,5.0,5.0
dataset/mode/mode_455.jpg,3.0,4.0
dataset/mode/mode_154.jpg,4.0,4.0
dataset/fairy/fairy_881.jpg,3.0,4.0
dataset/natural/natural_156.jpg,4.0,3.0
dataset/girlish/girlish_597.jpg,3.0,2.0
dataset/dressy/dressy_353.jpg,5.0,5.0
dataset/gal/gal_801.jpg,4.0,5.0
dataset/lolita/lolita_576.jpg,4.0,5.0
dataset/kireime-casual/kireime-casual_933.jpg,4.0,3.0
dataset/feminine/feminine_358.jpg,5.0,4.0
dataset/natural/natural_213.jpg,2.0,1.0
dataset/mode/mode_316.jpg,5.0,5.0
dataset/rock/rock_12.jpg,3.0,2.0
dataset/feminine/feminine_410.jpg,5.0,5.0
dataset/street/street_825.jpg,4.0,4.0
dataset/rock/rock_756.jpg,4.0,4.0
dataset/lolita/lolita_510.jpg,4.0,5.0
dataset/kireime-casual/kireime-casual_868.jpg,5.0,4.0
dataset/natural/natural_163.jpg,5.0,5.0
dataset/rock/rock_669.jpg,4.0,4.0
dataset/conservative/conservative_379.jpg,4.0,3.0
dataset/fairy/fairy_880.png,4.0,4.0
dataset/retro/retro_834.jpg,5.0,5.0
dataset/natural/natural_90.jpg,3.0,2.0
dataset/girlish/girlish_336.jpg,3.0,4.0
dataset/dressy/dressy_814.jpg,4.0,5.0
dataset/fairy/fairy_859.jpg,2.0,1.0
dataset/feminine/feminine_452.jpg,3.0,4.0
dataset/street/street_559.jpg,5.0,4.0
dataset/dressy/dressy_663.jpg,5.0,5.0
dataset/mode/mode_578.jpg,4.0,4.0
dataset/dressy/dressy_3.jpg,5.0,5.0
dataset/feminine/feminine_32.jpg,3.0,4.0
dataset/ethnic/ethnic_64.png,5.0,4.0
dataset/girlish/girlish_577.jpg,3.0,2.0
dataset/feminine/feminine_8.jpg,4.0,4.0
