Style,F1_Mean,F1_Std,F1_Min,F1_Max,F1_CV_Percent,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,Support_Mean,Support_Std,n
conservative,0.6944791112773664,0.026218048279053538,0.6348122866894198,0.7364620938628159,3.7752104927720964,0.6515881437711954,0.036617372837476084,0.7452127850988944,0.03229000833153469,137.9,0.9433981132056604,30
dressy,0.9548439643190563,0.013074352469509913,0.9259259259259259,0.9777777777777777,1.3692658652174485,0.9490018277297809,0.017907778032314376,0.9609434309931824,0.013854378924262344,134.9,0.30000000000000004,30
ethnic,0.8245613762614931,0.02594443287567476,0.7478991596638656,0.8692307692307693,3.146452601661396,0.829844282861295,0.022898935332577638,0.8206019578221329,0.042068334419963216,128.56666666666666,0.6155395104206463,30
fairy,0.906498293350634,0.012483949194903131,0.8791946308724832,0.9310344827586207,1.377161908243586,0.9058780170092524,0.02295052590610105,0.9078299015799017,0.02067020629474038,143.93333333333334,0.24944382578492943,30
feminine,0.7078970244834337,0.024626856254919373,0.6486486486486487,0.75,3.4788755148236525,0.6620977451921184,0.024348784916398414,0.762117373355897,0.042826305847800034,120.53333333333333,1.0241527663824812,30
gal,0.8014470176508568,0.02155040740550141,0.7544483985765125,0.8428571428571429,2.6889372511071783,0.8078709269607263,0.025504889436585486,0.7959486522866805,0.03062300949824709,142.93333333333334,0.24944382578492943,30
girlish,0.5989576365975774,0.023007873423791115,0.5641025641025641,0.65625,3.8413189878484597,0.7130843532533112,0.024597932714439504,0.5177244153410288,0.03531799092899851,164.86666666666667,0.9910712498212338,30
kireime-casual,0.6147232078946229,0.03687201819636956,0.5179856115107914,0.689419795221843,5.998149691249372,0.6632704988470182,0.03618417417288141,0.5740576587025548,0.045194073005180115,157.26666666666668,0.7717224601860151,30
lolita,0.9259916549569506,0.011280513028848952,0.9034267912772586,0.9470404984423676,1.21820892968775,0.9184687488599125,0.019148749049336868,0.9343160377358491,0.022432624273263226,159.9,0.30000000000000004,30
mode,0.7573703403074539,0.02631659432867588,0.710691823899371,0.8051948051948052,3.474732627896767,0.7641063978627536,0.031372591810369464,0.7515789528840238,0.032199283973984284,158.2,0.5416025603090641,30
natural,0.7672494140907519,0.022474301983137945,0.710801393728223,0.8057553956834532,2.92920418971863,0.7136816129727622,0.025418415569182357,0.830670623385013,0.034360443551704915,128.73333333333332,0.4422166387140533,30
retro,0.7799740872538431,0.028159046630516518,0.7206477732793523,0.84375,3.6102541213464874,0.8024295472333567,0.03633764716443192,0.7601049868766405,0.03702927472661081,127.0,0.0,30
rock,0.7505402584233958,0.028145621761792163,0.6589147286821705,0.789272030651341,3.750048241371567,0.7120767820378128,0.03478704659144272,0.7951951331496786,0.04079298514565796,120.76666666666667,0.4229525846816507,30
street,0.8312265428722545,0.026549581458002226,0.7687296416938111,0.8926174496644296,3.194024743995988,0.8350387095651216,0.03607879016094603,0.8285403050108934,0.03227123033929729,153.0,0.0,30
