class_a,class_b,a_to_b,b_to_a,symmetric_total,symmetric_rate
conservative,kireime-casual,186,185,371,0.018718466195761858
mode,rock,121,116,237,0.011957618567103935
feminine,girlish,102,132,234,0.011806256306760847
kireime-casual,natural,76,70,146,0.007366296670030272
girlish,kireime-casual,73,67,140,0.007063572149344097
rock,street,43,93,136,0.0068617558022199794
girlish,natural,84,48,132,0.006659939455095863
girlish,retro,73,54,127,0.006407669021190716
conservative,feminine,66,56,122,0.00615539858728557
gal,girlish,48,61,109,0.00549949545913219
ethnic,retro,41,58,99,0.004994954591321897
kireime-casual,mode,41,45,86,0.004339051463168517
ethnic,girlish,38,38,76,0.003834510595358224
feminine,gal,37,38,75,0.0037840565085771947
fairy,lolita,44,31,75,0.0037840565085771947
conservative,girlish,26,35,61,0.003077699293642785
ethnic,natural,36,21,57,0.002875882946518668
feminine,retro,19,28,47,0.0023713420787083756
mode,retro,12,35,47,0.0023713420787083756
natural,retro,8,34,42,0.002119071644803229
conservative,natural,17,25,42,0.002119071644803229
fairy,gal,18,24,42,0.002119071644803229
gal,street,24,16,40,0.0020181634712411706
girlish,street,21,18,39,0.0019677093844601415
ethnic,kireime-casual,21,16,37,0.0018668012108980828
mode,street,12,23,35,0.0017658930373360242
gal,mode,18,17,35,0.0017658930373360242
ethnic,gal,19,11,30,0.0015136226034308778
gal,kireime-casual,24,6,30,0.0015136226034308778
fairy,girlish,7,21,28,0.0014127144298688194
conservative,mode,10,17,27,0.00136226034308779
dressy,mode,12,14,26,0.0013118062563067608
gal,rock,11,15,26,0.0013118062563067608
dressy,retro,6,19,25,0.0012613521695257316
ethnic,street,4,19,23,0.001160443995963673
dressy,feminine,11,11,22,0.0011099899091826437
lolita,retro,6,16,22,0.0011099899091826437
conservative,gal,7,15,22,0.0011099899091826437
kireime-casual,rock,12,9,21,0.0010595358224016146
kireime-casual,retro,9,12,21,0.0010595358224016146
girlish,mode,11,7,18,0.0009081735620585267
ethnic,mode,5,12,17,0.0008577194752774974
conservative,retro,12,4,16,0.0008072653884964682
dressy,gal,11,1,12,0.0006054490413723512
ethnic,feminine,6,4,10,0.0005045408678102926
kireime-casual,street,7,3,10,0.0005045408678102926
mode,natural,8,2,10,0.0005045408678102926
gal,retro,5,5,10,0.0005045408678102926
dressy,lolita,9,1,10,0.0005045408678102926
girlish,rock,2,7,9,0.0004540867810292634
feminine,natural,7,2,9,0.0004540867810292634
feminine,kireime-casual,7,2,9,0.0004540867810292634
fairy,feminine,0,8,8,0.0004036326942482341
dressy,girlish,0,7,7,0.00035317860746720485
feminine,lolita,3,3,6,0.0003027245206861756
dressy,ethnic,3,3,6,0.0003027245206861756
retro,rock,1,4,5,0.0002522704339051463
girlish,lolita,4,0,4,0.00020181634712411706
gal,lolita,4,0,4,0.00020181634712411706
retro,street,4,0,4,0.00020181634712411706
fairy,rock,0,4,4,0.00020181634712411706
fairy,retro,4,0,4,0.00020181634712411706
lolita,rock,3,1,4,0.00020181634712411706
fairy,natural,1,2,3,0.0001513622603430878
fairy,street,0,3,3,0.0001513622603430878
conservative,fairy,0,2,2,0.00010090817356205853
gal,natural,2,0,2,0.00010090817356205853
conservative,dressy,0,2,2,0.00010090817356205853
ethnic,lolita,0,1,1,5.0454086781029264e-05
lolita,natural,0,1,1,5.0454086781029264e-05
conservative,ethnic,1,0,1,5.0454086781029264e-05
