class_a,class_b,a_to_b,b_to_a,symmetric_total,symmetric_rate
conservative,kireime-casual,195,260,455,0.022956609485368314
feminine,girlish,202,116,318,0.016044399596367307
mode,rock,83,153,236,0.011907164480322906
rock,street,100,125,225,0.011352169525731584
girlish,kireime-casual,89,121,210,0.010595358224016145
gal,girlish,96,109,205,0.010343087790110998
girlish,retro,86,102,188,0.009485368314833502
girlish,natural,72,114,186,0.009384460141271443
kireime-casual,natural,47,111,158,0.007971745711402623
conservative,girlish,87,59,146,0.007366296670030272
kireime-casual,mode,75,58,133,0.006710393541876892
ethnic,retro,70,57,127,0.006407669021190716
feminine,gal,78,45,123,0.006205852674066599
gal,street,47,50,97,0.004894046417759839
mode,street,29,55,84,0.004238143289606458
fairy,lolita,40,42,82,0.004137235116044399
conservative,feminine,36,44,80,0.004036326942482341
conservative,mode,42,34,76,0.003834510595358224
ethnic,girlish,47,27,74,0.0037336024217961656
conservative,natural,27,46,73,0.003683148335015136
mode,retro,25,46,71,0.003582240161453078
natural,retro,28,42,70,0.0035317860746720484
feminine,retro,40,28,68,0.0034308779011099897
ethnic,natural,32,32,64,0.003229061553985873
gal,kireime-casual,39,22,61,0.003077699293642785
fairy,girlish,42,13,55,0.0027749747729566097
conservative,retro,22,31,53,0.002674066599394551
fairy,gal,34,18,52,0.0026236125126135215
ethnic,street,24,27,51,0.0025731584258324924
dressy,mode,24,21,45,0.002270433905146317
girlish,street,30,13,43,0.0021695257315842583
ethnic,mode,25,17,42,0.002119071644803229
gal,mode,26,16,42,0.002119071644803229
gal,retro,24,17,41,0.0020686175580221997
kireime-casual,rock,19,21,40,0.0020181634712411706
dressy,retro,28,8,36,0.0018163471241170535
lolita,retro,20,14,34,0.0017154389505549949
kireime-casual,street,13,21,34,0.0017154389505549949
ethnic,kireime-casual,27,6,33,0.0016649848637739658
gal,rock,14,15,29,0.0014631685166498487
conservative,gal,12,16,28,0.0014127144298688194
mode,natural,12,13,25,0.0012613521695257316
girlish,rock,7,18,25,0.0012613521695257316
retro,street,13,11,24,0.0012108980827447023
kireime-casual,retro,5,16,21,0.0010595358224016146
ethnic,gal,9,11,20,0.0010090817356205853
girlish,mode,7,12,19,0.000958627648839556
feminine,lolita,8,9,17,0.0008577194752774974
dressy,gal,13,3,16,0.0008072653884964682
feminine,natural,8,5,13,0.0006559031281533804
ethnic,lolita,6,7,13,0.0006559031281533804
fairy,feminine,9,4,13,0.0006559031281533804
dressy,feminine,11,1,12,0.0006054490413723512
gal,natural,7,3,10,0.0005045408678102926
fairy,street,9,1,10,0.0005045408678102926
dressy,lolita,6,3,9,0.0004540867810292634
feminine,kireime-casual,6,3,9,0.0004540867810292634
fairy,retro,7,2,9,0.0004540867810292634
dressy,ethnic,4,5,9,0.0004540867810292634
dressy,girlish,0,7,7,0.00035317860746720485
natural,street,2,5,7,0.00035317860746720485
ethnic,fairy,4,3,7,0.00035317860746720485
conservative,dressy,0,6,6,0.0003027245206861756
ethnic,feminine,2,4,6,0.0003027245206861756
retro,rock,2,3,5,0.0002522704339051463
gal,lolita,2,3,5,0.0002522704339051463
feminine,mode,3,2,5,0.0002522704339051463
conservative,ethnic,2,2,4,0.00020181634712411706
ethnic,rock,1,2,3,0.0001513622603430878
fairy,natural,1,2,3,0.0001513622603430878
natural,rock,1,2,3,0.0001513622603430878
conservative,street,2,1,3,0.0001513622603430878
lolita,rock,2,0,2,0.00010090817356205853
dressy,fairy,0,2,2,0.00010090817356205853
dressy,street,1,0,1,5.0454086781029264e-05
dressy,natural,1,0,1,5.0454086781029264e-05
feminine,street,1,0,1,5.0454086781029264e-05
fairy,kireime-casual,0,1,1,5.0454086781029264e-05
