true_class,pred_class,count,rate_given_true
kireime-casual,conservative,260,0.16455696202531644
feminine,girlish,202,0.1669421487603306
conservative,kireime-casual,195,0.14150943396226415
rock,mode,153,0.12623762376237624
street,rock,125,0.08138020833333333
kireime-casual,girlish,121,0.07658227848101266
girlish,feminine,116,0.06987951807228916
natural,girlish,114,0.08837209302325581
natural,kireime-casual,111,0.08604651162790698
girlish,gal,109,0.06566265060240964
retro,girlish,102,0.08031496062992126
rock,street,100,0.08250825082508251
gal,girlish,96,0.06713286713286713
girlish,kireime-casual,89,0.053614457831325305
conservative,girlish,87,0.06313497822931785
