class_a,class_b,a_to_b,b_to_a,symmetric_total,symmetric_rate
conservative,kireime-casual,155,218,373,0.018819374369323915
feminine,girlish,102,151,253,0.012764883955600404
mode,rock,145,92,237,0.011957618567103935
girlish,kireime-casual,103,62,165,0.008324924318869829
rock,street,39,105,144,0.007265388496468214
kireime-casual,natural,63,75,138,0.0069626639757820385
girlish,natural,88,48,136,0.0068617558022199794
conservative,feminine,56,76,132,0.006659939455095863
gal,girlish,43,66,109,0.00549949545913219
kireime-casual,mode,47,62,109,0.00549949545913219
girlish,retro,49,54,103,0.005196770938446014
fairy,lolita,40,47,87,0.004389505549949546
ethnic,retro,34,52,86,0.004339051463168517
feminine,gal,36,48,84,0.004238143289606458
ethnic,girlish,39,35,74,0.0037336024217961656
ethnic,natural,43,24,67,0.0033804238143289606
mode,retro,9,45,54,0.00272452068617558
conservative,girlish,13,41,54,0.00272452068617558
mode,street,22,29,51,0.0025731584258324924
conservative,natural,23,26,49,0.0024722502522704338
ethnic,kireime-casual,29,17,46,0.002320887991927346
gal,kireime-casual,32,14,46,0.002320887991927346
gal,mode,26,17,43,0.0021695257315842583
feminine,retro,10,31,41,0.0020686175580221997
natural,retro,11,29,40,0.0020181634712411706
gal,street,20,20,40,0.0020181634712411706
ethnic,mode,22,15,37,0.0018668012108980828
girlish,street,21,15,36,0.0018163471241170535
fairy,girlish,15,16,31,0.0015640766902119071
conservative,retro,12,17,29,0.0014631685166498487
ethnic,gal,22,7,29,0.0014631685166498487
dressy,mode,10,18,28,0.0014127144298688194
kireime-casual,rock,13,15,28,0.0014127144298688194
fairy,gal,9,19,28,0.0014127144298688194
lolita,retro,8,19,27,0.00136226034308779
ethnic,street,12,13,25,0.0012613521695257316
conservative,mode,12,13,25,0.0012613521695257316
dressy,retro,3,22,25,0.0012613521695257316
kireime-casual,retro,8,15,23,0.001160443995963673
dressy,gal,10,11,21,0.0010595358224016146
gal,rock,11,10,21,0.0010595358224016146
dressy,feminine,8,13,21,0.0010595358224016146
girlish,rock,11,9,20,0.0010090817356205853
mode,natural,12,4,16,0.0008072653884964682
girlish,mode,8,6,14,0.0007063572149344097
conservative,gal,4,9,13,0.0006559031281533804
gal,retro,7,6,13,0.0006559031281533804
feminine,natural,9,3,12,0.0006054490413723512
fairy,feminine,1,11,12,0.0006054490413723512
feminine,kireime-casual,5,6,11,0.0005549949545913218
dressy,ethnic,3,8,11,0.0005549949545913218
fairy,street,3,8,11,0.0005549949545913218
ethnic,feminine,6,4,10,0.0005045408678102926
dressy,lolita,4,5,9,0.0004540867810292634
fairy,retro,4,5,9,0.0004540867810292634
girlish,lolita,6,2,8,0.0004036326942482341
ethnic,lolita,2,6,8,0.0004036326942482341
kireime-casual,street,6,2,8,0.0004036326942482341
retro,street,5,2,7,0.00035317860746720485
conservative,dressy,3,4,7,0.00035317860746720485
feminine,lolita,4,3,7,0.00035317860746720485
dressy,girlish,1,5,6,0.0003027245206861756
fairy,rock,1,5,6,0.0003027245206861756
fairy,natural,3,2,5,0.0002522704339051463
gal,natural,2,2,4,0.00020181634712411706
ethnic,fairy,4,0,4,0.00020181634712411706
gal,lolita,4,0,4,0.00020181634712411706
retro,rock,3,0,3,0.0001513622603430878
dressy,street,0,2,2,0.00010090817356205853
ethnic,rock,1,1,2,0.00010090817356205853
lolita,rock,2,0,2,0.00010090817356205853
conservative,ethnic,0,2,2,0.00010090817356205853
conservative,fairy,1,0,1,5.0454086781029264e-05
natural,rock,1,0,1,5.0454086781029264e-05
natural,street,0,1,1,5.0454086781029264e-05
lolita,natural,0,1,1,5.0454086781029264e-05
feminine,mode,1,0,1,5.0454086781029264e-05
