class_a,class_b,a_to_b,b_to_a,symmetric_total,symmetric_rate
conservative,kireime-casual,208,203,411,0.02073662966700303
feminine,girlish,129,155,284,0.014328960645812312
mode,rock,196,72,268,0.013521695257315842
rock,street,61,139,200,0.010090817356205853
kireime-casual,natural,55,129,184,0.009283551967709384
girlish,kireime-casual,96,80,176,0.00887991927346115
girlish,retro,82,87,169,0.008526740665993945
girlish,natural,68,81,149,0.00751765893037336
gal,girlish,73,74,147,0.007416750756811302
ethnic,retro,59,61,120,0.006054490413723511
feminine,gal,57,60,117,0.0059031281533804235
kireime-casual,mode,48,52,100,0.005045408678102927
conservative,feminine,50,49,99,0.004994954591321897
conservative,girlish,45,51,96,0.004843592330978809
conservative,retro,36,46,82,0.004137235116044399
fairy,lolita,33,49,82,0.004137235116044399
gal,street,49,25,74,0.0037336024217961656
feminine,retro,39,34,73,0.003683148335015136
mode,street,35,37,72,0.003632694248234107
ethnic,natural,34,33,67,0.0033804238143289606
ethnic,girlish,29,34,63,0.003178607467204844
kireime-casual,rock,32,27,59,0.0029767911200807265
natural,retro,25,32,57,0.002875882946518668
mode,retro,26,29,55,0.0027749747729566097
gal,kireime-casual,39,15,54,0.00272452068617558
dressy,mode,20,32,52,0.0026236125126135215
girlish,street,24,26,50,0.0025227043390514633
fairy,girlish,21,24,45,0.002270433905146317
conservative,natural,20,24,44,0.0022199798183652874
conservative,mode,22,22,44,0.0022199798183652874
ethnic,street,26,16,42,0.002119071644803229
gal,mode,28,11,39,0.0019677093844601415
lolita,retro,20,18,38,0.001917255297679112
kireime-casual,retro,12,26,38,0.001917255297679112
ethnic,kireime-casual,28,9,37,0.0018668012108980828
fairy,gal,14,23,37,0.0018668012108980828
dressy,retro,13,23,36,0.0018163471241170535
gal,retro,19,13,32,0.0016145307769929364
dressy,feminine,15,15,30,0.0015136226034308778
ethnic,gal,18,11,29,0.0014631685166498487
kireime-casual,street,15,13,28,0.0014127144298688194
girlish,rock,12,15,27,0.00136226034308779
retro,street,16,10,26,0.0013118062563067608
gal,rock,17,7,24,0.0012108980827447023
ethnic,mode,13,9,22,0.0011099899091826437
girlish,mode,11,10,21,0.0010595358224016146
ethnic,rock,17,3,20,0.0010090817356205853
mode,natural,18,2,20,0.0010090817356205853
feminine,natural,8,10,18,0.0009081735620585267
dressy,ethnic,6,12,18,0.0009081735620585267
conservative,gal,4,14,18,0.0009081735620585267
dressy,gal,8,7,15,0.0007568113017154389
feminine,lolita,6,6,12,0.0006054490413723512
dressy,girlish,1,11,12,0.0006054490413723512
ethnic,fairy,9,3,12,0.0006054490413723512
natural,street,6,5,11,0.0005549949545913218
girlish,lolita,7,3,10,0.0005045408678102926
ethnic,feminine,4,6,10,0.0005045408678102926
gal,natural,6,4,10,0.0005045408678102926
feminine,kireime-casual,4,6,10,0.0005045408678102926
ethnic,lolita,4,6,10,0.0005045408678102926
fairy,feminine,3,6,9,0.0004540867810292634
lolita,mode,4,4,8,0.0004036326942482341
feminine,mode,2,6,8,0.0004036326942482341
gal,lolita,5,2,7,0.00035317860746720485
lolita,rock,6,1,7,0.00035317860746720485
dressy,lolita,5,2,7,0.00035317860746720485
fairy,natural,3,4,7,0.00035317860746720485
fairy,street,2,4,6,0.0003027245206861756
retro,rock,3,2,5,0.0002522704339051463
dressy,street,4,1,5,0.0002522704339051463
natural,rock,0,4,4,0.00020181634712411706
conservative,street,1,3,4,0.00020181634712411706
dressy,fairy,0,4,4,0.00020181634712411706
conservative,dressy,0,4,4,0.00020181634712411706
fairy,rock,2,1,3,0.0001513622603430878
fairy,retro,0,3,3,0.0001513622603430878
dressy,kireime-casual,0,3,3,0.0001513622603430878
feminine,street,0,2,2,0.00010090817356205853
lolita,natural,1,1,2,0.00010090817356205853
feminine,rock,2,0,2,0.00010090817356205853
conservative,ethnic,2,0,2,0.00010090817356205853
lolita,street,1,1,2,0.00010090817356205853
fairy,mode,0,2,2,0.00010090817356205853
kireime-casual,lolita,1,0,1,5.0454086781029264e-05
conservative,fairy,1,0,1,5.0454086781029264e-05
fairy,kireime-casual,0,1,1,5.0454086781029264e-05
conservative,rock,1,0,1,5.0454086781029264e-05
dressy,natural,1,0,1,5.0454086781029264e-05
