model,true_class,pred_class,count,rate_given_true
clip,conservative,kireime-casual,186,0.13497822931785197
clip,kireime-casual,conservative,185,0.11708860759493671
clip,girlish,feminine,132,0.07951807228915662
clip,mode,rock,121,0.07610062893081761
clip,rock,mode,116,0.09570957095709572
clip,feminine,girlish,102,0.08429752066115702
clip,street,rock,93,0.060546875
clip,girlish,natural,84,0.05060240963855422
clip,kireime-casual,natural,76,0.04810126582278481
clip,girlish,kireime-casual,73,0.04397590361445783
clip,girlish,retro,73,0.04397590361445783
clip,natural,kireime-casual,70,0.05426356589147287
clip,kireime-casual,girlish,67,0.04240506329113924
clip,conservative,feminine,66,0.047895500725689405
clip,girlish,gal,61,0.03674698795180723
convnext,kireime-casual,conservative,260,0.16455696202531644
convnext,feminine,girlish,202,0.1669421487603306
convnext,conservative,kireime-casual,195,0.14150943396226415
convnext,rock,mode,153,0.12623762376237624
convnext,street,rock,125,0.08138020833333333
convnext,kireime-casual,girlish,121,0.07658227848101266
convnext,girlish,feminine,116,0.06987951807228916
convnext,natural,girlish,114,0.08837209302325581
convnext,natural,kireime-casual,111,0.08604651162790698
convnext,girlish,gal,109,0.06566265060240964
convnext,retro,girlish,102,0.08031496062992126
convnext,rock,street,100,0.08250825082508251
convnext,gal,girlish,96,0.06713286713286713
convnext,girlish,kireime-casual,89,0.053614457831325305
convnext,conservative,girlish,87,0.06313497822931785
swin,conservative,kireime-casual,208,0.1509433962264151
swin,kireime-casual,conservative,203,0.12848101265822784
swin,mode,rock,196,0.12327044025157233
swin,girlish,feminine,155,0.09337349397590361
swin,street,rock,139,0.09049479166666667
swin,feminine,girlish,129,0.10661157024793388
swin,natural,kireime-casual,129,0.1
swin,girlish,kireime-casual,96,0.05783132530120482
swin,retro,girlish,87,0.06850393700787402
swin,girlish,retro,82,0.04939759036144578
swin,natural,girlish,81,0.06279069767441861
swin,kireime-casual,girlish,80,0.05063291139240506
swin,girlish,gal,74,0.04457831325301205
swin,gal,girlish,73,0.05104895104895105
swin,rock,mode,72,0.0594059405940594
vit,kireime-casual,conservative,271,0.17151898734177215
vit,conservative,kireime-casual,240,0.1741654571843251
vit,feminine,girlish,219,0.18099173553719008
vit,mode,rock,201,0.12641509433962264
vit,girlish,feminine,189,0.11385542168674699
vit,rock,mode,187,0.1542904290429043
vit,ethnic,retro,176,0.13643410852713178
vit,conservative,girlish,175,0.1269956458635704
vit,street,rock,154,0.10026041666666667
vit,gal,girlish,152,0.1062937062937063
vit,kireime-casual,girlish,147,0.0930379746835443
vit,retro,girlish,144,0.11338582677165354
vit,natural,kireime-casual,138,0.10697674418604651
vit,girlish,gal,126,0.07590361445783132
vit,rock,street,123,0.10148514851485149
concat_mlp,gal,dressy,449,0.313986013986014
concat_mlp,feminine,dressy,431,0.35619834710743803
concat_mlp,lolita,retro,421,0.2636192861615529
concat_mlp,conservative,mode,420,0.3047895500725689
concat_mlp,natural,mode,363,0.2813953488372093
concat_mlp,fairy,feminine,362,0.2526168876482903
concat_mlp,kireime-casual,mode,350,0.22151898734177214
concat_mlp,fairy,gal,335,0.23377529658060014
concat_mlp,street,girlish,317,0.20638020833333334
concat_mlp,lolita,gal,315,0.19724483406386975
concat_mlp,conservative,dressy,297,0.2155297532656023
concat_mlp,rock,ethnic,297,0.24504950495049505
concat_mlp,dressy,gal,282,0.20982142857142858
concat_mlp,kireime-casual,gal,276,0.17468354430379746
concat_mlp,girlish,dressy,275,0.16566265060240964
gated_fusion,street,gal,523,0.3404947916666667
gated_fusion,girlish,feminine,414,0.2493975903614458
gated_fusion,kireime-casual,conservative,289,0.1829113924050633
gated_fusion,gal,feminine,264,0.18461538461538463
gated_fusion,conservative,feminine,225,0.1632801161103048
gated_fusion,street,ethnic,218,0.14192708333333334
gated_fusion,kireime-casual,feminine,197,0.12468354430379747
gated_fusion,street,girlish,191,0.12434895833333333
gated_fusion,retro,feminine,176,0.13858267716535433
gated_fusion,fairy,feminine,174,0.12142358688066993
gated_fusion,rock,mode,172,0.1419141914191419
gated_fusion,lolita,feminine,166,0.10394489668127739
gated_fusion,mode,feminine,161,0.10125786163522013
gated_fusion,natural,feminine,150,0.11627906976744186
gated_fusion,dressy,feminine,146,0.10863095238095238
blip,kireime-casual,conservative,191,0.1208860759493671
blip,girlish,feminine,125,0.07530120481927711
blip,street,rock,123,0.080078125
blip,conservative,kireime-casual,121,0.08780841799709724
blip,mode,rock,101,0.06352201257861635
blip,girlish,kireime-casual,100,0.060240963855421686
blip,rock,mode,94,0.07755775577557755
blip,girlish,natural,90,0.05421686746987952
blip,girlish,retro,71,0.0427710843373494
blip,natural,kireime-casual,69,0.053488372093023255
blip,rock,street,69,0.05693069306930693
blip,feminine,girlish,63,0.05206611570247934
blip,fairy,lolita,63,0.04396371249127704
blip,kireime-casual,girlish,60,0.0379746835443038
blip,gal,feminine,58,0.04055944055944056
vilbert,kireime-casual,conservative,337,0.21329113924050633
vilbert,rock,street,243,0.2004950495049505
vilbert,girlish,feminine,235,0.14156626506024098
vilbert,girlish,natural,232,0.13975903614457832
vilbert,conservative,kireime-casual,213,0.15457184325108853
vilbert,mode,rock,208,0.13081761006289308
vilbert,lolita,fairy,189,0.11834690043832186
