seed,model,case_type,true,pred,file
13,clip,success,retro,retro,clip\seed_13\success_00.png
13,clip,success,mode,mode,clip\seed_13\success_01.png
13,clip,success,mode,mode,clip\seed_13\success_02.png
13,clip,success,retro,retro,clip\seed_13\success_03.png
13,clip,success,ethnic,ethnic,clip\seed_13\success_04.png
13,clip,success,natural,natural,clip\seed_13\success_05.png
13,clip,failure,retro,girlish,clip\seed_13\failure_00.png
13,clip,failure,girlish,gal,clip\seed_13\failure_01.png
13,clip,failure,mode,street,clip\seed_13\failure_02.png
13,clip,failure,natural,girlish,clip\seed_13\failure_03.png
13,clip,failure,girlish,gal,clip\seed_13\failure_04.png
13,clip,failure,conservative,kireime-casual,clip\seed_13\failure_05.png
13,cross_attention,success,mode,mode,cross_attention\seed_13\success_00.png
13,cross_attention,success,mode,mode,cross_attention\seed_13\success_01.png
13,cross_attention,success,ethnic,ethnic,cross_attention\seed_13\success_02.png
13,cross_attention,success,natural,natural,cross_attention\seed_13\success_03.png
13,cross_attention,success,mode,mode,cross_attention\seed_13\success_04.png
13,cross_attention,success,conservative,conservative,cross_attention\seed_13\success_05.png
13,cross_attention,failure,retro,feminine,cross_attention\seed_13\failure_00.png
13,cross_attention,failure,retro,girlish,cross_attention\seed_13\failure_01.png
13,cross_attention,failure,retro,fairy,cross_attention\seed_13\failure_02.png
13,cross_attention,failure,girlish,gal,cross_attention\seed_13\failure_03.png
13,cross_attention,failure,mode,street,cross_attention\seed_13\failure_04.png
13,cross_attention,failure,natural,girlish,cross_attention\seed_13\failure_05.png
14,clip,success,fairy,fairy,clip\seed_14\success_00.png
14,clip,success,street,street,clip\seed_14\success_01.png
14,clip,success,mode,mode,clip\seed_14\success_02.png
14,clip,success,fairy,fairy,clip\seed_14\success_03.png
14,clip,success,gal,gal,clip\seed_14\success_04.png
14,clip,success,street,street,clip\seed_14\success_05.png
14,clip,failure,gal,dressy,clip\seed_14\failure_00.png
14,clip,failure,mode,rock,clip\seed_14\failure_01.png
14,clip,failure,retro,kireime-casual,clip\seed_14\failure_02.png
14,clip,failure,girlish,feminine,clip\seed_14\failure_03.png
14,clip,failure,gal,street,clip\seed_14\failure_04.png
14,clip,failure,kireime-casual,mode,clip\seed_14\failure_05.png
14,cross_attention,success,fairy,fairy,cross_attention\seed_14\success_00.png
14,cross_attention,success,mode,mode,cross_attention\seed_14\success_01.png
14,cross_attention,success,street,street,cross_attention\seed_14\success_02.png
14,cross_attention,success,mode,mode,cross_attention\seed_14\success_03.png
14,cross_attention,success,fairy,fairy,cross_attention\seed_14\success_04.png
14,cross_attention,success,gal,gal,cross_attention\seed_14\success_05.png
14,cross_attention,failure,gal,feminine,cross_attention\seed_14\failure_00.png
14,cross_attention,failure,ethnic,mode,cross_attention\seed_14\failure_01.png
14,cross_attention,failure,retro,kireime-casual,cross_attention\seed_14\failure_02.png
14,cross_attention,failure,feminine,dressy,cross_attention\seed_14\failure_03.png
14,cross_attention,failure,kireime-casual,feminine,cross_attention\seed_14\failure_04.png
14,cross_attention,failure,retro,feminine,cross_attention\seed_14\failure_05.png
16,clip,success,mode,mode,clip\seed_16\success_00.png
16,clip,success,lolita,lolita,clip\seed_16\success_01.png
16,clip,success,fairy,fairy,clip\seed_16\success_02.png
16,clip,success,feminine,feminine,clip\seed_16\success_03.png
16,clip,success,girlish,girlish,clip\seed_16\success_04.png
16,clip,success,kireime-casual,kireime-casual,clip\seed_16\success_05.png
16,clip,failure,kireime-casual,retro,clip\seed_16\failure_00.png
16,clip,failure,mode,kireime-casual,clip\seed_16\failure_01.png
16,clip,failure,retro,conservative,clip\seed_16\failure_02.png
16,clip,failure,natural,kireime-casual,clip\seed_16\failure_03.png
16,clip,failure,feminine,natural,clip\seed_16\failure_04.png
16,clip,failure,mode,rock,clip\seed_16\failure_05.png
16,cross_attention,success,mode,mode,cross_attention\seed_16\success_00.png
16,cross_attention,success,lolita,lolita,cross_attention\seed_16\success_01.png
16,cross_attention,success,fairy,fairy,cross_attention\seed_16\success_02.png
16,cross_attention,success,feminine,feminine,cross_attention\seed_16\success_03.png
16,cross_attention,success,girlish,girlish,cross_attention\seed_16\success_04.png
16,cross_attention,success,kireime-casual,kireime-casual,cross_attention\seed_16\success_05.png
16,cross_attention,failure,kireime-casual,retro,cross_attention\seed_16\failure_00.png
16,cross_attention,failure,mode,natural,cross_attention\seed_16\failure_01.png
16,cross_attention,failure,retro,girlish,cross_attention\seed_16\failure_02.png
16,cross_attention,failure,feminine,conservative,cross_attention\seed_16\failure_03.png
16,cross_attention,failure,dressy,ethnic,cross_attention\seed_16\failure_04.png
16,cross_attention,failure,mode,gal,cross_attention\seed_16\failure_05.png
17,clip,success,retro,retro,clip\seed_17\success_00.png
17,clip,success,ethnic,ethnic,clip\seed_17\success_01.png
17,clip,success,kireime-casual,kireime-casual,clip\seed_17\success_02.png
17,clip,success,fairy,fairy,clip\seed_17\success_03.png
17,clip,success,natural,natural,clip\seed_17\success_04.png
17,clip,success,feminine,feminine,clip\seed_17\success_05.png
17,clip,failure,girlish,kireime-casual,clip\seed_17\failure_00.png
17,clip,failure,kireime-casual,girlish,clip\seed_17\failure_01.png
17,clip,failure,fairy,conservative,clip\seed_17\failure_02.png
17,clip,failure,feminine,gal,clip\seed_17\failure_03.png
17,clip,failure,street,rock,clip\seed_17\failure_04.png
17,clip,failure,street,rock,clip\seed_17\failure_05.png
17,cross_attention,success,retro,retro,cross_attention\seed_17\success_00.png
17,cross_attention,success,ethnic,ethnic,cross_attention\seed_17\success_01.png
17,cross_attention,success,kireime-casual,kireime-casual,cross_attention\seed_17\success_02.png
17,cross_attention,success,kireime-casual,kireime-casual,cross_attention\seed_17\success_03.png
17,cross_attention,success,fairy,fairy,cross_attention\seed_17\success_04.png
17,cross_attention,success,natural,natural,cross_attention\seed_17\success_05.png
17,cross_attention,failure,girlish,kireime-casual,cross_attention\seed_17\failure_00.png
17,cross_attention,failure,kireime-casual,conservative,cross_attention\seed_17\failure_01.png
17,cross_attention,failure,fairy,natural,cross_attention\seed_17\failure_02.png
17,cross_attention,failure,feminine,gal,cross_attention\seed_17\failure_03.png
17,cross_attention,failure,street,mode,cross_attention\seed_17\failure_04.png
17,cross_attention,failure,street,rock,cross_attention\seed_17\failure_05.png
45,clip,success,retro,retro,clip\seed_45\success_00.png
45,clip,success,gal,gal,clip\seed_45\success_01.png
45,clip,success,street,street,clip\seed_45\success_02.png
45,clip,success,retro,retro,clip\seed_45\success_03.png
45,clip,success,fairy,fairy,clip\seed_45\success_04.png
45,clip,success,conservative,conservative,clip\seed_45\success_05.png
45,clip,failure,retro,feminine,clip\seed_45\failure_00.png
45,clip,failure,retro,girlish,clip\seed_45\failure_01.png
45,clip,failure,conservative,mode,clip\seed_45\failure_02.png
45,clip,failure,natural,girlish,clip\seed_45\failure_03.png
45,clip,failure,rock,mode,clip\seed_45\failure_04.png
45,clip,failure,dressy,lolita,clip\seed_45\failure_05.png
45,cross_attention,success,gal,gal,cross_attention\seed_45\success_00.png
45,cross_attention,success,street,street,cross_attention\seed_45\success_01.png
45,cross_attention,success,retro,retro,cross_attention\seed_45\success_02.png
45,cross_attention,success,fairy,fairy,cross_attention\seed_45\success_03.png
45,cross_attention,success,conservative,conservative,cross_attention\seed_45\success_04.png
45,cross_attention,success,lolita,lolita,cross_attention\seed_45\success_05.png
45,cross_attention,failure,retro,ethnic,cross_attention\seed_45\failure_00.png
45,cross_attention,failure,retro,girlish,cross_attention\seed_45\failure_01.png
45,cross_attention,failure,retro,girlish,cross_attention\seed_45\failure_02.png
45,cross_attention,failure,gal,ethnic,cross_attention\seed_45\failure_03.png
45,cross_attention,failure,dressy,gal,cross_attention\seed_45\failure_04.png
45,cross_attention,failure,street,girlish,cross_attention\seed_45\failure_05.png
48,clip,success,ethnic,ethnic,clip\seed_48\success_00.png
48,clip,success,rock,rock,clip\seed_48\success_01.png
48,clip,success,girlish,girlish,clip\seed_48\success_02.png
48,clip,success,dressy,dressy,clip\seed_48\success_03.png
48,clip,success,lolita,lolita,clip\seed_48\success_04.png
48,clip,success,girlish,girlish,clip\seed_48\success_05.png
48,clip,failure,retro,lolita,clip\seed_48\failure_00.png
48,clip,failure,conservative,kireime-casual,clip\seed_48\failure_01.png
48,clip,failure,street,mode,clip\seed_48\failure_02.png
48,clip,failure,girlish,conservative,clip\seed_48\failure_03.png
48,clip,failure,kireime-casual,conservative,clip\seed_48\failure_04.png
48,clip,failure,girlish,feminine,clip\seed_48\failure_05.png
48,cross_attention,success,ethnic,ethnic,cross_attention\seed_48\success_00.png
48,cross_attention,success,rock,rock,cross_attention\seed_48\success_01.png
48,cross_attention,success,conservative,conservative,cross_attention\seed_48\success_02.png
48,cross_attention,success,girlish,girlish,cross_attention\seed_48\success_03.png
48,cross_attention,success,dressy,dressy,cross_attention\seed_48\success_04.png
48,cross_attention,success,lolita,lolita,cross_attention\seed_48\success_05.png
48,cross_attention,failure,retro,dressy,cross_attention\seed_48\failure_00.png
48,cross_attention,failure,girlish,kireime-casual,cross_attention\seed_48\failure_01.png
48,cross_attention,failure,kireime-casual,conservative,cross_attention\seed_48\failure_02.png
48,cross_attention,failure,conservative,mode,cross_attention\seed_48\failure_03.png
48,cross_attention,failure,ethnic,street,cross_attention\seed_48\failure_04.png
48,cross_attention,failure,retro,lolita,cross_attention\seed_48\failure_05.png
53,clip,success,fairy,fairy,clip\seed_53\success_00.png
53,clip,success,gal,gal,clip\seed_53\success_01.png
53,clip,success,street,street,clip\seed_53\success_02.png
53,clip,success,rock,rock,clip\seed_53\success_03.png
53,clip,success,mode,mode,clip\seed_53\success_04.png
53,clip,success,natural,natural,clip\seed_53\success_05.png
53,clip,failure,conservative,retro,clip\seed_53\failure_00.png
53,clip,failure,kireime-casual,ethnic,clip\seed_53\failure_01.png
53,clip,failure,conservative,girlish,clip\seed_53\failure_02.png
53,clip,failure,mode,street,clip\seed_53\failure_03.png
53,clip,failure,conservative,girlish,clip\seed_53\failure_04.png
