seed,model,case_type,true,pred,file
13,clip,success,retro,retro,clip\seed_13\success_00.png
13,clip,success,mode,mode,clip\seed_13\success_01.png
13,clip,success,mode,mode,clip\seed_13\success_02.png
13,clip,success,retro,retro,clip\seed_13\success_03.png
13,clip,success,ethnic,ethnic,clip\seed_13\success_04.png
13,clip,success,natural,natural,clip\seed_13\success_05.png
13,clip,failure,retro,girlish,clip\seed_13\failure_00.png
13,clip,failure,girlish,gal,clip\seed_13\failure_01.png
13,clip,failure,mode,street,clip\seed_13\failure_02.png
13,clip,failure,natural,girlish,clip\seed_13\failure_03.png
13,clip,failure,girlish,gal,clip\seed_13\failure_04.png
13,clip,failure,conservative,kireime-casual,clip\seed_13\failure_05.png
