Style,F1_Mean,F1_Std,F1_Min,F1_Max,F1_CV_Percent,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,Support_Mean,Support_Std,n
conservative,0.6976810864524072,0.023814733914825727,0.6209150326797386,0.7420494699646644,3.4134125716263437,0.667585007679446,0.034038222238152616,0.7321229795337473,0.02969995534133664,137.9,0.9433981132056604,30
dressy,0.9493570686097974,0.0128677238691844,0.9219858156028369,0.9710144927536232,1.3554145531383055,0.9347848320371881,0.019667258579287986,0.9646526626128616,0.01312344548270606,134.9,0.30000000000000004,30
ethnic,0.8095189877576245,0.022011357146698426,0.7729083665338645,0.8638132295719845,2.719066196046877,0.834139655605097,0.02556565610202411,0.7874095225742131,0.03469229895969995,128.56666666666666,0.6155395104206463,30
fairy,0.9004700064183903,0.01607066516402092,0.8671328671328671,0.9315068493150684,1.7846974412775631,0.891369185887189,0.02094242521530404,0.9101511914011915,0.020413406869094666,143.93333333333334,0.24944382578492943,30
feminine,0.7108913088322704,0.02498455331393065,0.6536964980544747,0.7593984962406015,3.5145391431175272,0.6513140410724263,0.026539345109645875,0.783681654663753,0.03744552804049981,120.53333333333333,1.0241527663824812,30
gal,0.804281252476872,0.021456340257965546,0.7619047619047619,0.8484848484848485,2.6677658085263585,0.7909958213958659,0.02816483905236617,0.8187973997833153,0.0274668590630575,142.93333333333334,0.24944382578492943,30
girlish,0.5743319936026888,0.031182707435636677,0.5214007782101168,0.643598615916955,5.429387145931528,0.7439152602326573,0.02605399477978083,0.4688276047692996,0.037627087580136956,164.86666666666667,0.9910712498212338,30
kireime-casual,0.6334054445188138,0.025096770033283415,0.5664335664335665,0.6712328767123288,3.9621967651934162,0.6654414891031659,0.026189615010621642,0.6053890304561578,0.034838776857401194,157.26666666666668,0.7717224601860151,30
lolita,0.9169221821631636,0.013894173479534219,0.8816568047337278,0.940809968847352,1.5153056333260124,0.9019750347676277,0.02391714591874602,0.9328694968553459,0.015251036726855172,159.9,0.30000000000000004,30
mode,0.7571897378896808,0.02719112872128012,0.7065868263473054,0.8125,3.591058800805056,0.74709903328326,0.03004545050485355,0.7684167166562629,0.03475616289678254,158.2,0.5416025603090641,30
natural,0.7753690780126037,0.023523869832254574,0.7272727272727273,0.8489208633093526,3.0338932128361447,0.7049419416622766,0.02608382346086022,0.8622698643410854,0.03154345276918265,128.73333333333332,0.4422166387140533,30
retro,0.7590240129629088,0.03049101675855694,0.6788990825688074,0.8200836820083682,4.017134667391207,0.808594560677159,0.03302494662534543,0.716797900262467,0.043484881200032015,127.0,0.0,30
rock,0.7320925316247965,0.024911888661996683,0.6610169491525424,0.7755102040816326,3.402833328555827,0.7304205512864506,0.03310250690506929,0.7355417814508722,0.03793063041057046,120.76666666666667,0.4229525846816507,30
street,0.8664421857629006,0.02174617178498744,0.8172757475083057,0.9090909090909091,2.509823753080534,0.8531459782363652,0.025821532189421913,0.8808278867102398,0.02906762271178085,153.0,0.0,30
