style,f1_mean,f1_std,precision_mean,recall_mean,acc_mean
conservative,0.7306429079124351,0.02382741203818,0.7345600468213805,0.733001868895236,0.733001868895236
dressy,0.9498178234507384,0.01354230999824507,0.9698724355770004,0.9318168417173391,0.9318168417173391
ethnic,0.860580107125256,0.02421504009002059,0.8838866457953815,0.8421188630490959,0.8421188630490959
fairy,0.935658806174913,0.017812794187562507,0.9271556099922338,0.9458511396011395,0.9458511396011395
feminine,0.7627025978188012,0.03303612360746919,0.7860041058825548,0.7487603305785124,0.7487603305785124
gal,0.8018855710275414,0.027008659934611514,0.826906792076254,0.7827505827505826,0.7827505827505826
girlish,0.6436637465237391,0.029515123784315072,0.6263597292138716,0.6694779116465864,0.6694779116465864
kireime-casual,0.6769644082081183,0.029688830467069893,0.6631604429363336,0.698101265822785,0.698101265822785
lolita,0.953866561621824,0.015660548424264314,0.9630257816221361,0.9459263626834384,0.9459263626834384
mode,0.77909433438155,0.02850860871704872,0.767623891312351,0.7968553459119497,0.7968553459119497
natural,0.805246227009073,0.031028361808244666,0.8225063418232961,0.7927648578811369,0.7927648578811369
retro,0.7546784786624824,0.031122983777556613,0.7680192664006437,0.7472440944881887,0.7472440944881887
rock,0.7927186543562856,0.03413107847957193,0.8118166641872585,0.7818362462177664,0.7818362462177664
street,0.8458430658513962,0.029617009527039013,0.8459951425279475,0.8483490365843309,0.8483490365843309
