class,acc,precision,recall,f1
conservative,0.6496350364963503,0.8018018018018018,0.6496350364963503,0.717741935483871
dressy,0.8962962962962963,0.9918032786885246,0.8962962962962963,0.9416342412451362
ethnic,0.8604651162790697,0.8671875,0.8604651162790697,0.8638132295719845
fairy,0.9440559440559441,0.9642857142857143,0.9440559440559441,0.9540636042402827
feminine,0.6776859504132231,0.9213483146067416,0.6776859504132231,0.780952380952381
gal,0.7552447552447552,0.8307692307692308,0.7552447552447552,0.7912087912087912
girlish,0.7590361445783133,0.5550660792951542,0.7590361445783133,0.6412213740458015
kireime-casual,0.7468354430379747,0.7108433734939759,0.7468354430379747,0.7283950617283951
lolita,0.95,0.9559748427672956,0.95,0.9529780564263323
mode,0.8679245283018868,0.7624309392265194,0.8679245283018868,0.8117647058823529
natural,0.8682170542635659,0.835820895522388,0.8682170542635659,0.8517110266159695
retro,0.7401574803149606,0.6962962962962963,0.7401574803149606,0.7175572519083969
rock,0.743801652892562,0.8571428571428571,0.743801652892562,0.7964601769911505
street,0.8571428571428571,0.8516129032258064,0.8571428571428571,0.8543689320388349
