class,acc,precision,recall,f1
conservative,0.7153284671532847,0.6853146853146853,0.7153284671532847,0.7
dressy,0.9029850746268657,0.937984496124031,0.9029850746268657,0.9201520912547528
ethnic,0.8604651162790697,0.7928571428571428,0.8604651162790697,0.8252788104089219
fairy,0.9166666666666666,0.9295774647887324,0.9166666666666666,0.9230769230769231
feminine,0.6942148760330579,0.8316831683168316,0.6942148760330579,0.7567567567567568
gal,0.6993006993006993,0.819672131147541,0.6993006993006993,0.7547169811320755
girlish,0.5602409638554217,0.6413793103448275,0.5602409638554217,0.5980707395498392
kireime-casual,0.7025316455696202,0.6342857142857142,0.7025316455696202,0.6666666666666666
lolita,0.95625,0.9622641509433962,0.95625,0.9592476489028213
mode,0.7232704402515723,0.7278481012658228,0.7232704402515723,0.7255520504731862
natural,0.813953488372093,0.8267716535433071,0.813953488372093,0.8203125
retro,0.7716535433070866,0.7538461538461538,0.7716535433070866,0.7626459143968871
rock,0.7786885245901639,0.7661290322580645,0.7786885245901639,0.7723577235772358
street,0.8888888888888888,0.7272727272727273,0.8888888888888888,0.8
