seed,gpt4o_semantic_mean,gpt4o_style_mean,n_test
13,3.875,3.8541666666666665,50
14,4.145833333333333,3.7916666666666665,50
16,4.081632653061225,3.8979591836734695,50
17,4.040816326530612,3.9183673469387754,50
45,3.857142857142857,3.8979591836734695,50
48,4.041666666666667,3.9166666666666665,50
53,4.166666666666667,3.9166666666666665,50
58,4.163265306122449,3.8979591836734695,50
72,4.148936170212766,3.893617021276596,50
102,4.0212765957446805,4.0212765957446805,50
112,4.081632653061225,4.040816326530612,50
115,4.02,3.96,50
120,3.938775510204082,3.836734693877551,50
126,4.282608695652174,4.217391304347826,50
141,4.043478260869565,3.9347826086956523,50
215,4.061224489795919,4.122448979591836,50
217,3.94,3.86,50
259,3.9591836734693877,3.836734693877551,50
280,4.085106382978723,4.148936170212766,50
288,4.1,3.96,50
303,3.84,3.94,50
309,4.0212765957446805,4.0638297872340425,50
328,4.021739130434782,3.869565217391304,50
333,4.08,3.84,50
347,4.32,4.12,50
360,3.96,3.92,50
367,3.9583333333333335,3.9375,50
378,3.86,3.78,50
380,3.9,3.82,50
457,4.270833333333333,4.125,50
