metric_group,metric,mean,std
clip_similarity,clip_similarity_mean,0.3166452685991923,0.0006338469412105
clip_iqa,clip_iqa_win_rate,0.9624027072758036,0.0051649313132269
clip_iqa,clip_iqa_margin_mean,0.0911284119344604,0.0007536452463955
blipscore,blip_itm_mean,0.9593977749347686,0.0023988413490107
retrieval_recall,i2t_recall@1,0.3431979695431472,0.0080521012918579
retrieval_recall,i2t_recall@5,0.6188155668358715,0.0097208968583724
retrieval_recall,i2t_recall@10,0.7239932318104906,0.0097667343222377
retrieval_recall,t2i_recall@1,0.2058375634517766,0.0091986549275315
retrieval_recall,t2i_recall@5,0.4247377326565144,0.0077837121992487
retrieval_recall,t2i_recall@10,0.5363620981387479,0.009328215910433
confusion_matrix,accuracy,0.2855329949238578,0.0081763714170995
confusion_matrix,macro_f1,0.21278481419365,0.0081331885203662
gpt4o_evaluation,gpt4o_semantic_mean,4.733177929259868,0.0761908788800534
gpt4o_evaluation,gpt4o_style_mean,4.61293435411668,0.0850646350222295
random_caption_sanity,acc_correct_caption,0.8283587140439932,0.0081647904836768
random_caption_sanity,acc_random_caption,0.7736040609137055,0.0121212492103341
random_caption_sanity,accuracy_drop,0.0547546531302876,0.0086857260047322
class_randomized_sanity,acc_correct_caption,0.8271065989847716,0.0092840220369447
class_randomized_sanity,acc_wrong_style_caption,0.7685786802030454,0.0136499151448863
class_randomized_sanity,accuracy_drop,0.0585279187817258,0.0105929328398839
