seed,gpt4o_semantic_mean,gpt4o_style_mean,n_test
13,4.829787234042553,4.595744680851064,50
14,4.755102040816326,4.653061224489796,50
16,4.73469387755102,4.6938775510204085,50
17,4.775510204081633,4.755102040816326,50
45,4.595744680851064,4.680851063829787,50
48,4.8125,4.458333333333333,50
53,4.571428571428571,4.469387755102041,50
58,4.818181818181818,4.659090909090909,50
72,4.755102040816326,4.571428571428571,50
102,4.75,4.604166666666667,50
112,4.795918367346939,4.551020408163265,50
115,4.8125,4.666666666666667,50
120,4.666666666666667,4.666666666666667,50
126,4.770833333333333,4.604166666666667,50
141,4.73469387755102,4.6938775510204085,50
215,4.833333333333333,4.604166666666667,50
217,4.702127659574468,4.723404255319149,50
259,4.729166666666667,4.708333333333333,50
280,4.72093023255814,4.5813953488372094,50
288,4.8,4.52,50
303,4.520833333333333,4.520833333333333,50
309,4.6938775510204085,4.714285714285714,50
328,4.6521739130434785,4.608695652173913,50
333,4.739130434782608,4.608695652173913,50
347,4.78,4.7,50
360,4.708333333333333,4.4375,50
367,4.729166666666667,4.6875,50
378,4.755102040816326,4.530612244897959,50
380,4.8125,4.479166666666667,50
457,4.64,4.64,50
