merge_key,semantic,style_fit
dataset2/kireime-casual/1bd4c9e5b933f065bf26d679d6345dc8.jpg,5.0,5.0
dataset2/rock/2a22fe6c109b2d2e82c0bbf47dd5f217--band-tee-outfits-new-outfits.jpg,5.0,5.0
dataset2/retro/2015-Fashion-Women-60S-Retro-Vintage-Dress-Vestido-De-Festa-Desigual-Elegant-OL-Ladies-Spring-Summer.jpg,4.0,5.0
dataset2/mode/tumblr_nvc1ux4ZyV1ux2l1xo1_1280.jpg,5.0,5.0
dataset2/conservative/34487_normal.jpg,4.0,3.0
dataset2/retro/5443446a4d3c77c218cacc11e1fbc0ec.jpg,5.0,5.0
dataset2/fairy/3f91ac04f46046202ce1702ad3f65948.jpg,4.0,4.0
dataset2/lolita/503_0.png,4.0,5.0
dataset2/girlish/20150220193916052_1000.jpg,4.0,3.0
dataset2/girlish/20170319070701205_276.jpg,,
dataset2/ethnic/31ca3ac6e8b8656c.jpg,5.0,3.0
dataset2/rock/vi67g5-l.jpg,4.0,3.0
dataset2/mode/x71ta0-l.jpg,5.0,5.0
dataset2/lolita/217294_214556998570999_100000501000480_865643_810986_n.jpg,5.0,5.0
dataset2/retro/af1325c3a2125864d4a2540a88468407--indie-style-retro-style.jpg,5.0,5.0
dataset2/mode/41246b296bf0ef960dd70f32a8494418.jpg,5.0,5.0
dataset2/feminine/01.jpg,5.0,5.0
dataset2/rock/2016-01-14_23h19_08.png,5.0,3.0
dataset2/conservative/Oggi0909_03_03w400.jpg,5.0,4.0
dataset2/dressy/和風ドレス-7.jpg,,
dataset2/feminine/imgdet_1604_28047_imgdet_org.jpg,5.0,5.0
dataset2/fairy/32443d99df6f5773132fcf294b5d9b0c.jpg,5.0,4.0
dataset2/retro/2015-04-02-Outfit-Caro-Emerald-Texel-Black-White-Vintage-Retro-Fashion-Blogger-Crochet-Gloves-Mesh-Beret-Hat-Polka-Dots-Peplum-Skirt-2.png,5.0,5.0
dataset2/feminine/1-1.jpg,5.0,5.0
dataset2/fairy/b6f8b29a3cdf194f113b26e51728cb06.jpg,5.0,5.0
dataset2/kireime-casual/b0e9e97f3d1040206d813265a8f6245e.jpg,5.0,5.0
dataset2/conservative/418.jpg,5.0,5.0
dataset2/natural/o0480050013250714682.jpg,5.0,5.0
dataset2/dressy/bifauehr.jpg,5.0,5.0
dataset2/natural/images (6).jpeg,4.0,4.0
dataset2/rock/1c0ed2275b8f8ee4ae89166f54ccd89d.jpg,5.0,5.0
dataset2/natural/965e6a94d074f483934450586dd445118afc6724.jpg,5.0,5.0
dataset2/kireime-casual/506f4fb0ee61c42d2cf8a83c387774f6.jpg,5.0,5.0
dataset2/girlish/95620425d737335e090d2b6cef397d00.jpg,4.0,3.0
dataset2/conservative/E382B7E383A3E38384E383AFE383B3E38394.JPG,4.0,4.0
dataset2/ethnic/0fe9b57ec8989226964a58742a3c7ede--tribal-dress-boho-dress.jpg,5.0,2.0
dataset2/conservative/fc2blog_201311060934202cc.jpg,5.0,5.0
dataset2/natural/l84_ichsp2_21.jpg,4.0,5.0
dataset2/girlish/c2410_5_750.jpg,5.0,4.0
dataset2/girlish/CNsfTYMVAAALJeB.jpg,4.0,5.0
dataset2/kireime-casual/df73bc57-3e5b-41ec-9075-bb01476d517b.jpg,5.0,4.0
dataset2/kireime-casual/o0480064113273283980.jpg,5.0,4.0
dataset2/girlish/imgdet_15031_498540_imgdet_org.jpg,5.0,4.0
dataset2/lolita/ba76a6c2443841ff9a90486fe0746afd612eb8d7.89.2.9.2.jpeg,3.0,4.0
dataset2/ethnic/5aflo_XJDA623229.jpg,5.0,3.0
dataset2/ethnic/31f16be149e75466442a9ac4ce3c310e--ethnic-style-summer-clothes.jpg,5.0,5.0
dataset2/natural/images (15).jpeg,5.0,5.0
dataset2/natural/8137430_16_D_500.jpg,5.0,5.0
dataset2/retro/bdd2fa2f37b2ebd81831dd2430282ded.jpg,5.0,5.0
dataset2/natural/9f890bff054f0644527a45408f11b3e84604f34d.jpg,4.0,5.0
